token,key,train_document_frequency,test_document_frequency
gene=PKHD1|family=substitution:missense,family,254,141
gene=PKHD1|subfamily=missense,subfamily,254,141
gene=APC|frameshift_grammar=ref_position_alt,frameshift_grammar,0,254
gene=APC|subfamily=ref_position_alt,subfamily,0,254
gene=TP53|family=frameshift,family,252,124
gene=TP53|parse_status=partial,parse_status,252,124
gene=APC|position_bin=1001-1100,position_bin,13,252
gene=KMT2D|family=substitution:missense,family,240,246
gene=KMT2D|subfamily=missense,subfamily,240,246
gene=MXRA5|family=substitution:missense,family,244,149
gene=MXRA5|subfamily=missense,subfamily,244,149
gene=APC|position_bin=1401-1500,position_bin,57,241
gene=COL6A3|family=substitution:missense,family,237,163
gene=COL6A3|subfamily=missense,subfamily,237,163
gene=HUWE1|family=substitution:missense,family,232,102
gene=HUWE1|subfamily=missense,subfamily,232,102
gene=CACNA1A|position_bin=2201-2300,position_bin,7,230
gene=PIK3CA|position_bin=1001-1100,position_bin,228,99
gene=FBN2|family=substitution:missense,family,227,114
gene=FBN2|subfamily=missense,subfamily,227,114
gene=PEG3|family=substitution:missense,family,223,109
gene=PEG3|subfamily=missense,subfamily,223,109
gene=HLA-A|family=substitution:missense,family,46,222
gene=HLA-A|subfamily=missense,subfamily,46,222
gene=CPEB2|position_bin=501-600,position_bin,7,215
gene=VCAN|family=substitution:missense,family,214,146
gene=VCAN|subfamily=missense,subfamily,214,146
gene=VHL|position_bin=101-200,position_bin,214,36
gene=COL11A1|family=substitution:missense,family,211,123
gene=COL11A1|subfamily=missense,subfamily,211,123
gene=PTPRD|family=substitution:missense,family,211,84
gene=PTPRD|subfamily=missense,subfamily,211,84
gene=TP53|frameshift_grammar=short_ref_position,frameshift_grammar,211,46
gene=TP53|subfamily=short_ref_position,subfamily,211,46
gene=SYNE1|family=substitution:no_change,family,210,107
gene=SYNE1|subfamily=no_change,subfamily,210,107
gene=MYH2|family=substitution:missense,family,207,111
gene=MYH2|subfamily=missense,subfamily,207,111
gene=TG|family=substitution:missense,family,206,116
gene=TG|subfamily=missense,subfamily,206,116
gene=LAMA2|family=substitution:missense,family,205,118
gene=LAMA2|subfamily=missense,subfamily,205,118
gene=LRP1|family=substitution:missense,family,202,118
gene=LRP1|subfamily=missense,subfamily,202,118
gene=PLEC|family=substitution:missense,family,202,191
gene=PLEC|subfamily=missense,subfamily,202,191
gene=LAMA1|family=substitution:missense,family,201,124
gene=LAMA1|subfamily=missense,subfamily,201,124
gene=RYR2|family=substitution:no_change,family,201,90
gene=RYR2|subfamily=no_change,subfamily,201,90
gene=MUC1|position_bin=101-200,position_bin,8,201
gene=KALRN|family=substitution:missense,family,196,110
gene=KALRN|subfamily=missense,subfamily,196,110
gene=KMT2D|family=substitution:no_change,family,107,194
gene=KMT2D|subfamily=no_change,subfamily,107,194
gene=MYH4|family=substitution:missense,family,193,79
gene=MYH4|subfamily=missense,subfamily,193,79
gene=COL12A1|family=substitution:missense,family,192,114
gene=COL12A1|subfamily=missense,subfamily,192,114
gene=PCLO|family=substitution:no_change,family,192,92
gene=PCLO|subfamily=no_change,subfamily,192,92
gene=PDE4DIP|family=substitution:missense,family,191,78
gene=PDE4DIP|subfamily=missense,subfamily,191,78
gene=PTEN|family=substitution:missense,family,191,74
gene=PTEN|subfamily=missense,subfamily,191,74
gene=SCN10A|family=substitution:missense,family,191,113
gene=SCN10A|subfamily=missense,subfamily,191,113
gene=MYH1|family=substitution:missense,family,190,96
gene=MYH1|subfamily=missense,subfamily,190,96
gene=EGFR|family=substitution:missense,family,189,118
gene=EGFR|subfamily=missense,subfamily,189,118
gene=KDM6B|family=substitution:missense,family,67,189
gene=KDM6B|subfamily=missense,subfamily,67,189
gene=DCC|family=substitution:missense,family,188,84
gene=DCC|subfamily=missense,subfamily,188,84
gene=TUBGCP6|family=substitution:missense,family,75,187
gene=TUBGCP6|subfamily=missense,subfamily,75,187
gene=MAGEE1|position_bin=201-300,position_bin,15,186
gene=ALMS1|family=substitution:missense,family,181,155
gene=ALMS1|subfamily=missense,subfamily,181,155
gene=DOCK2|family=substitution:missense,family,181,96
gene=DOCK2|subfamily=missense,subfamily,181,96
gene=FBN1|family=substitution:missense,family,181,114
gene=FBN1|subfamily=missense,subfamily,181,114
gene=TENM2|family=substitution:missense,family,180,106
gene=TENM2|subfamily=missense,subfamily,180,106
gene=RYR1|family=substitution:no_change,family,179,104
gene=RYR1|subfamily=no_change,subfamily,179,104
gene=MYH8|family=substitution:missense,family,178,89
gene=MYH8|subfamily=missense,subfamily,178,89
gene=RNF213|family=substitution:missense,family,178,127
gene=RNF213|subfamily=missense,subfamily,178,127
gene=FLNC|family=substitution:missense,family,177,115
gene=FLNC|subfamily=missense,subfamily,177,115
gene=TCHH|position_bin=501-600,position_bin,18,177
gene=CTNNB1|family=substitution:missense,family,176,104
gene=CTNNB1|subfamily=missense,subfamily,176,104
gene=ATRX|family=substitution:missense,family,175,75
gene=ATRX|subfamily=missense,subfamily,175,75
gene=LAMA3|family=substitution:missense,family,175,98
gene=LAMA3|subfamily=missense,subfamily,175,98
gene=PABPC1|family=substitution:missense,family,59,175
gene=PABPC1|subfamily=missense,subfamily,59,175
gene=NLGN2|family=substitution:missense,family,47,174
gene=NLGN2|subfamily=missense,subfamily,47,174
gene=MTCH2|position_bin=201-300,position_bin,7,174
gene=MKI67|family=substitution:missense,family,171,128
gene=MKI67|subfamily=missense,subfamily,171,128
gene=MTOR|family=substitution:missense,family,170,113
gene=MTOR|subfamily=missense,subfamily,170,113
gene=VWF|family=substitution:missense,family,170,93
gene=VWF|subfamily=missense,subfamily,170,93
gene=RUNX1|family=substitution:missense,family,31,170
gene=RUNX1|subfamily=missense,subfamily,31,170
gene=MYO15A|family=substitution:missense,family,168,134
gene=MYO15A|subfamily=missense,subfamily,168,134
gene=PLEC|subfamily=no_change,subfamily,168,86
gene=PTEN|position_bin=101-200,position_bin,168,71
gene=MFHAS1|family=substitution:missense,family,41,167
gene=MFHAS1|subfamily=missense,subfamily,41,167
gene=TUBGCP6|position_bin=1101-1200,position_bin,10,167
gene=DYNC1H1|family=substitution:missense,family,166,101
gene=DYNC1H1|subfamily=missense,subfamily,166,101
gene=F5|family=substitution:missense,family,166,128
gene=F5|subfamily=missense,subfamily,166,128
gene=PLEC|family=substitution:no_change,family,166,86
gene=SCN9A|family=substitution:missense,family,165,103
gene=SCN9A|subfamily=missense,subfamily,165,103
gene=CREBBP|family=substitution:missense,family,164,120
gene=CREBBP|subfamily=missense,subfamily,164,120
gene=PRKDC|family=substitution:missense,family,163,102
gene=PRKDC|subfamily=missense,subfamily,163,102
gene=MYH7|family=substitution:missense,family,162,99
gene=MYH7|subfamily=missense,subfamily,162,99
gene=ROS1|family=substitution:missense,family,162,84
gene=ROS1|subfamily=missense,subfamily,162,84
gene=TCHH|family=substitution:no_change,family,50,162
gene=TCHH|subfamily=no_change,subfamily,50,162
gene=COL7A1|family=substitution:missense,family,161,99
gene=COL7A1|subfamily=missense,subfamily,161,99
gene=SLIT2|family=substitution:missense,family,161,85
gene=SLIT2|subfamily=missense,subfamily,161,85
gene=CACNA1B|family=substitution:missense,family,132,161
gene=CACNA1B|subfamily=missense,subfamily,132,161
gene=COL5A1|family=substitution:missense,family,160,100
gene=COL5A1|subfamily=missense,subfamily,160,100
gene=LCT|family=substitution:missense,family,160,91
gene=LCT|subfamily=missense,subfamily,160,91
gene=PCNT|family=substitution:missense,family,160,105
gene=PCNT|subfamily=missense,subfamily,160,105
gene=PKD1|family=substitution:missense,family,127,160
gene=PKD1|subfamily=missense,subfamily,127,160
gene=SPEG|family=substitution:missense,family,143,159
gene=SPEG|subfamily=missense,subfamily,143,159
gene=APC|family=substitution:missense,family,158,70
gene=APC|subfamily=missense,subfamily,158,70
gene=F8|family=substitution:missense,family,157,80
gene=F8|subfamily=missense,subfamily,157,80
gene=MUC1|position_bin=901-1000,position_bin,0,157
gene=ANK1|family=substitution:missense,family,155,88
gene=ANK1|subfamily=missense,subfamily,155,88
gene=TEX15|family=substitution:missense,family,154,93
gene=TEX15|subfamily=missense,subfamily,154,93
gene=TUBGCP6|family=substitution:no_change,family,42,154
gene=TUBGCP6|subfamily=no_change,subfamily,42,154
gene=VHL|family=substitution:missense,family,152,41
gene=VHL|subfamily=missense,subfamily,152,41
gene=ABCB1|family=substitution:missense,family,151,59
gene=ABCB1|subfamily=missense,subfamily,151,59
gene=ITPR2|family=substitution:missense,family,151,77
gene=ITPR2|subfamily=missense,subfamily,151,77
gene=RXRA|position_bin=1-100,position_bin,5,150
gene=NOS1|family=substitution:missense,family,149,84
gene=NOS1|subfamily=missense,subfamily,149,84
gene=PIK3CA|aa_transition=H>R,aa_transition,148,57
gene=FBXW7|family=substitution:missense,family,142,146
gene=FBXW7|subfamily=missense,subfamily,142,146
gene=RUNX1|position_bin=301-400,position_bin,6,146
gene=COL1A2|family=substitution:missense,family,145,75
gene=COL1A2|subfamily=missense,subfamily,145,75
gene=GNAS|family=substitution:missense,family,143,145
gene=GNAS|subfamily=missense,subfamily,143,145
gene=FN1|family=substitution:missense,family,144,97
gene=FN1|subfamily=missense,subfamily,144,97
gene=NRXN2|family=substitution:missense,family,92,144
gene=NRXN2|subfamily=missense,subfamily,92,144
gene=TP53|aa_transition=R>H,aa_transition,142,135
gene=GRID2|family=substitution:missense,family,141,68
gene=GRID2|subfamily=missense,subfamily,141,68
gene=ZFPM2|family=substitution:missense,family,141,100
gene=ZFPM2|subfamily=missense,subfamily,141,100
gene=RUNX1|position_bin=401-500,position_bin,0,141
gene=CENPF|family=substitution:missense,family,139,76
gene=CENPF|subfamily=missense,subfamily,139,76
gene=CFH|family=substitution:missense,family,139,81
gene=CFH|subfamily=missense,subfamily,139,81
gene=MYH11|family=substitution:missense,family,139,85
gene=MYH11|subfamily=missense,subfamily,139,85
gene=NF1|family=substitution:missense,family,139,66
gene=NF1|subfamily=missense,subfamily,139,66
gene=NOTCH1|family=substitution:missense,family,139,95
gene=NOTCH1|subfamily=missense,subfamily,139,95
gene=CDH8|family=substitution:missense,family,138,88
gene=CDH8|subfamily=missense,subfamily,138,88
gene=CELSR1|family=substitution:missense,family,138,120
gene=CELSR1|subfamily=missense,subfamily,138,120
gene=MAP4K1|family=substitution:missense,family,32,138
gene=MAP4K1|subfamily=missense,subfamily,32,138
gene=POLQ|family=substitution:missense,family,137,87
gene=POLQ|subfamily=missense,subfamily,137,87
gene=MUC1|family=substitution:no_change,family,8,137
gene=MUC1|subfamily=no_change,subfamily,8,137
gene=CACNA1A|aa_transition=H>P,aa_transition,0,137
gene=MYOM2|family=substitution:missense,family,136,82
gene=MYOM2|subfamily=missense,subfamily,136,82
gene=SAMD9|family=substitution:missense,family,136,67
gene=SAMD9|subfamily=missense,subfamily,136,67
gene=C3|family=substitution:missense,family,135,84
gene=C3|subfamily=missense,subfamily,135,84
gene=CELSR2|family=substitution:missense,family,135,90
gene=CELSR2|subfamily=missense,subfamily,135,90
gene=HLA-B|family=substitution:missense,family,34,135
gene=HLA-B|subfamily=missense,subfamily,34,135
gene=EPHA5|family=substitution:missense,family,134,69
gene=EPHA5|subfamily=missense,subfamily,134,69
gene=MYLK|family=substitution:missense,family,134,90
gene=MYLK|subfamily=missense,subfamily,134,90
gene=HLA-A|position_bin=101-200,position_bin,24,134
gene=LTBP1|family=substitution:missense,family,133,63
gene=LTBP1|subfamily=missense,subfamily,133,63
gene=SPTB|family=substitution:missense,family,133,96
gene=SPTB|subfamily=missense,subfamily,133,96
gene=AKAP13|family=substitution:missense,family,132,76
gene=AKAP13|subfamily=missense,subfamily,132,76
gene=COL3A1|family=substitution:missense,family,132,74
gene=COL3A1|subfamily=missense,subfamily,132,74
gene=CR1|family=substitution:missense,family,132,82
gene=CR1|subfamily=missense,subfamily,132,82
gene=TNC|family=substitution:missense,family,132,95
gene=TNC|subfamily=missense,subfamily,132,95
gene=KDM6B|subfamily=no_change,subfamily,19,132
gene=KDM6B|family=substitution:no_change,family,18,132
gene=BRCA2|family=substitution:missense,family,131,86
gene=BRCA2|subfamily=missense,subfamily,131,86
gene=NOTCH4|family=substitution:missense,family,131,78
gene=NOTCH4|subfamily=missense,subfamily,131,78
gene=PLCB1|family=substitution:missense,family,131,57
gene=PLCB1|subfamily=missense,subfamily,131,57
gene=TP53|position_bin=301-400,position_bin,131,84
gene=COL6A3|family=substitution:no_change,family,130,82
gene=COL6A3|subfamily=no_change,subfamily,130,82
gene=NLRP3|family=substitution:missense,family,130,70
gene=NLRP3|subfamily=missense,subfamily,130,70
gene=NOTCH2|family=substitution:missense,family,130,58
gene=NOTCH2|subfamily=missense,subfamily,130,58
gene=POLE|family=substitution:missense,family,130,90
gene=POLE|subfamily=missense,subfamily,130,90
gene=TRIO|family=substitution:missense,family,130,99
gene=TRIO|subfamily=missense,subfamily,130,99
gene=PLCB4|family=substitution:missense,family,129,58
gene=PLCB4|subfamily=missense,subfamily,129,58
gene=SLIT3|family=substitution:missense,family,129,72
gene=SLIT3|subfamily=missense,subfamily,129,72
gene=RXRA|family=substitution:missense,family,31,129
gene=RXRA|subfamily=missense,subfamily,31,129
gene=ATRX|family=frameshift,family,128,42
gene=ATRX|parse_status=partial,parse_status,128,42
gene=DOCK10|family=substitution:missense,family,128,81
gene=DOCK10|subfamily=missense,subfamily,128,81
gene=ABCA4|family=substitution:missense,family,127,106
gene=ABCA4|subfamily=missense,subfamily,127,106
gene=CDKN2A|position_bin=1-100,position_bin,127,52
gene=FLNB|family=substitution:missense,family,127,63
gene=FLNB|subfamily=missense,subfamily,127,63
gene=MAGI2|family=substitution:missense,family,127,93
gene=MAGI2|subfamily=missense,subfamily,127,93
gene=CES1|position_bin=1-100,position_bin,20,127
gene=COL5A2|family=substitution:missense,family,126,82
gene=COL5A2|subfamily=missense,subfamily,126,82
gene=FLNA|family=substitution:missense,family,125,80
gene=FLNA|subfamily=missense,subfamily,125,80
gene=GRM8|family=substitution:missense,family,125,76
gene=GRM8|subfamily=missense,subfamily,125,76
gene=NAV2|family=substitution:missense,family,125,77
gene=NAV2|subfamily=missense,subfamily,125,77
gene=SPTA1|family=substitution:no_change,family,125,68
gene=SPTA1|subfamily=no_change,subfamily,125,68
gene=TIAM1|family=substitution:missense,family,125,102
gene=TIAM1|subfamily=missense,subfamily,125,102
gene=TP53|aa_transition=R>STOP,aa_transition,125,80
gene=COL4A1|family=substitution:missense,family,124,68
gene=COL4A1|subfamily=missense,subfamily,124,68
gene=CTNNB1|position_bin=1-100,position_bin,124,65
gene=MAP1B|family=substitution:missense,family,124,92
gene=MAP1B|subfamily=missense,subfamily,124,92
gene=MAST4|family=substitution:missense,family,100,124
gene=MAST4|subfamily=missense,subfamily,100,124
gene=MTCH2|position_bin=1-100,position_bin,10,124
gene=DLC1|family=substitution:missense,family,123,97
gene=DLC1|subfamily=missense,subfamily,123,97
gene=IGSF1|family=substitution:missense,family,123,67
gene=IGSF1|subfamily=missense,subfamily,123,67
gene=RELN|family=substitution:no_change,family,123,63
gene=RELN|subfamily=no_change,subfamily,123,63
gene=SAMD9L|family=substitution:missense,family,123,76
gene=SAMD9L|subfamily=missense,subfamily,123,76
gene=CENPE|family=substitution:missense,family,122,70
gene=CENPE|subfamily=missense,subfamily,122,70
gene=COL5A3|family=substitution:missense,family,122,81
gene=COL5A3|subfamily=missense,subfamily,122,81
gene=DPYD|family=substitution:missense,family,122,63
gene=DPYD|subfamily=missense,subfamily,122,63
gene=EPB41L3|family=substitution:missense,family,122,75
gene=EPB41L3|subfamily=missense,subfamily,122,75
gene=MYH9|family=substitution:missense,family,122,59
gene=MYH9|subfamily=missense,subfamily,122,59
gene=HLA-B|position_bin=1-100,position_bin,22,122
gene=ESRRA|position_bin=301-400,position_bin,7,122
gene=ADCY2|family=substitution:missense,family,121,70
gene=ADCY2|subfamily=missense,subfamily,121,70
gene=NOTCH3|family=substitution:missense,family,121,108
gene=NOTCH3|subfamily=missense,subfamily,121,108
gene=MFHAS1|position_bin=101-200,position_bin,8,121
gene=GREB1|family=substitution:missense,family,120,95
gene=GREB1|subfamily=missense,subfamily,120,95
gene=NIPBL|family=substitution:missense,family,120,78
gene=NIPBL|subfamily=missense,subfamily,120,78
gene=PIK3CG|family=substitution:missense,family,120,63
gene=PIK3CG|subfamily=missense,subfamily,120,63
gene=PTEN|family=frameshift,family,120,58
gene=PTEN|parse_status=partial,parse_status,120,58
gene=CACNA1H|family=substitution:missense,family,115,120
gene=CACNA1H|subfamily=missense,subfamily,115,120
gene=TCF7L2|position_bin=401-500,position_bin,23,120
gene=KMT2D|position_bin=601-700,position_bin,17,120
gene=CDH4|family=substitution:missense,family,119,73
gene=CDH4|subfamily=missense,subfamily,119,73
gene=PIKFYVE|family=substitution:missense,family,119,61
gene=PIKFYVE|subfamily=missense,subfamily,119,61
gene=PTPRC|family=substitution:missense,family,119,68
gene=PTPRC|subfamily=missense,subfamily,119,68
gene=SVIL|family=substitution:missense,family,111,119
gene=SVIL|subfamily=missense,subfamily,111,119
gene=PREX1|family=substitution:missense,family,118,94
gene=PREX1|subfamily=missense,subfamily,118,94
gene=NCOR2|family=substitution:missense,family,106,118
gene=NCOR2|subfamily=missense,subfamily,106,118
gene=CPEB2|aa_transition=Q>P,aa_transition,0,118
gene=SIPA1L1|family=substitution:missense,family,117,70
gene=SIPA1L1|subfamily=missense,subfamily,117,70
gene=TNS1|family=substitution:missense,family,117,87
gene=TNS1|subfamily=missense,subfamily,117,87
gene=ZNF292|family=substitution:missense,family,117,72
gene=ZNF292|subfamily=missense,subfamily,117,72
gene=ABCA1|family=substitution:missense,family,116,71
gene=ABCA1|subfamily=missense,subfamily,116,71
gene=CFTR|family=substitution:missense,family,116,82
gene=CFTR|subfamily=missense,subfamily,116,82
gene=ERBB3|family=substitution:missense,family,116,69
gene=ERBB3|subfamily=missense,subfamily,116,69
gene=IGF2R|family=substitution:missense,family,116,63
gene=IGF2R|subfamily=missense,subfamily,116,63
gene=PKHD1|family=substitution:no_change,family,116,57
gene=PKHD1|subfamily=no_change,subfamily,116,57
gene=CACNA1F|family=substitution:missense,family,115,70
gene=CACNA1F|subfamily=missense,subfamily,115,70
gene=DOCK4|family=substitution:missense,family,115,86
gene=DOCK4|subfamily=missense,subfamily,115,86
gene=HDAC9|family=substitution:missense,family,115,65
gene=HDAC9|subfamily=missense,subfamily,115,65
gene=STAB1|family=substitution:missense,family,114,115
gene=STAB1|subfamily=missense,subfamily,114,115
gene=FBXW7|position_bin=401-500,position_bin,60,115
gene=KIF1B|family=substitution:missense,family,114,65
gene=KIF1B|subfamily=missense,subfamily,114,65
gene=MTCH2|family=substitution:missense,family,18,114
gene=MTCH2|subfamily=missense,subfamily,18,114
gene=MAGEE1|position_bin=101-200,position_bin,10,114
gene=ACACA|family=substitution:missense,family,113,67
gene=ACACA|subfamily=missense,subfamily,113,67
gene=CAD|family=substitution:missense,family,113,72
gene=CAD|subfamily=missense,subfamily,113,72
gene=CNTN1|family=substitution:missense,family,113,71
gene=CNTN1|subfamily=missense,subfamily,113,71
gene=RNF213|family=substitution:no_change,family,113,62
gene=RNF213|subfamily=no_change,subfamily,113,62
gene=SPTAN1|family=substitution:missense,family,112,74
gene=SPTAN1|subfamily=missense,subfamily,112,74
gene=FGA|family=substitution:missense,family,111,56
gene=FGA|subfamily=missense,subfamily,111,56
gene=RAPGEFL1|position_bin=1-100,position_bin,6,111
gene=MYH3|family=substitution:missense,family,110,73
gene=MYH3|subfamily=missense,subfamily,110,73
gene=NFASC|family=substitution:missense,family,110,78
gene=NFASC|subfamily=missense,subfamily,110,78
gene=PLCL1|family=substitution:missense,family,110,66
gene=PLCL1|subfamily=missense,subfamily,110,66
gene=REV3L|family=substitution:missense,family,110,64
gene=REV3L|subfamily=missense,subfamily,110,64
gene=APC|aa_transition=R>STOP,aa_transition,79,110
gene=MAGEE1|family=substitution:no_change,family,28,110
gene=MAGEE1|subfamily=no_change,subfamily,28,110
gene=SCN10A|family=substitution:no_change,family,109,49
gene=SCN10A|subfamily=no_change,subfamily,109,49
gene=MAST2|family=substitution:missense,family,58,109
gene=MAST2|subfamily=missense,subfamily,58,109
gene=HLA-C|family=substitution:missense,family,41,108
gene=HLA-C|subfamily=missense,subfamily,41,108
gene=UTP20|family=substitution:missense,family,107,65
gene=UTP20|subfamily=missense,subfamily,107,65
gene=VHL|position_bin=1-100,position_bin,107,34
gene=HELZ2|family=substitution:missense,family,91,107
gene=HELZ2|subfamily=missense,subfamily,91,107
gene=GRINA|family=substitution:missense,family,13,107
gene=GRINA|subfamily=missense,subfamily,13,107
gene=CDH11|family=substitution:missense,family,106,72
gene=CDH11|subfamily=missense,subfamily,106,72
gene=CIT|family=substitution:missense,family,106,81
gene=CIT|subfamily=missense,subfamily,106,81
gene=LAMA1|family=substitution:no_change,family,106,70
gene=LAMA1|subfamily=no_change,subfamily,106,70
gene=MXRA5|family=substitution:no_change,family,106,76
gene=MXRA5|subfamily=no_change,subfamily,106,76
gene=MYH10|family=substitution:missense,family,106,87
gene=MYH10|subfamily=missense,subfamily,106,87
gene=MYH4|family=substitution:no_change,family,106,31
gene=MYH4|subfamily=no_change,subfamily,106,31
gene=PTPRM|family=substitution:missense,family,106,51
gene=PTPRM|subfamily=missense,subfamily,106,51
gene=CACNA1B|family=substitution:no_change,family,79,106
gene=CACNA1B|subfamily=no_change,subfamily,79,106
gene=APC|position_bin=1501-1600,position_bin,22,106
gene=ABCB4|family=substitution:missense,family,105,57
gene=ABCB4|subfamily=missense,subfamily,105,57
gene=PTEN|position_bin=201-300,position_bin,105,61
gene=SPTBN2|family=substitution:missense,family,105,95
gene=SPTBN2|subfamily=missense,subfamily,105,95
gene=VHL|family=frameshift,family,105,16
gene=VHL|parse_status=partial,parse_status,105,16
gene=XDH|family=substitution:missense,family,105,57
gene=XDH|subfamily=missense,subfamily,105,57
gene=IFITM3|position_bin=1-100,position_bin,19,105
gene=HLA-C|position_bin=201-300,position_bin,12,105
gene=ADCY1|family=substitution:missense,family,104,77
gene=ADCY1|subfamily=missense,subfamily,104,77
gene=ARPP21|family=substitution:missense,family,104,57
gene=ARPP21|subfamily=missense,subfamily,104,57
gene=KIT|family=substitution:missense,family,104,58
gene=KIT|subfamily=missense,subfamily,104,58
gene=LAMA4|family=substitution:missense,family,104,71
gene=LAMA4|subfamily=missense,subfamily,104,71
gene=MED13L|family=substitution:missense,family,104,78
gene=MED13L|subfamily=missense,subfamily,104,78
gene=TP53|aa_transition=R>C,aa_transition,104,49
gene=CES1|family=substitution:missense,family,53,104
gene=CES1|subfamily=missense,subfamily,53,104
gene=KRT15|position_bin=1-100,position_bin,9,104
gene=SFPQ|position_bin=1-100,position_bin,4,104
gene=ABCA8|family=substitution:missense,family,103,70
gene=ABCA8|subfamily=missense,subfamily,103,70
gene=AGRN|family=substitution:missense,family,58,103
gene=AGRN|subfamily=missense,subfamily,58,103
gene=RAPGEFL1|family=substitution:missense,family,20,103
gene=RAPGEFL1|subfamily=missense,subfamily,20,103
gene=ABCC8|family=substitution:missense,family,102,81
gene=ABCC8|subfamily=missense,subfamily,102,81
gene=COL15A1|family=substitution:missense,family,102,80
gene=COL15A1|subfamily=missense,subfamily,102,80
gene=CR2|family=substitution:missense,family,102,48
gene=CR2|subfamily=missense,subfamily,102,48
gene=CPEB2|aa_transition=H>P,aa_transition,0,102
gene=CDH6|family=substitution:missense,family,101,51
gene=CDH6|subfamily=missense,subfamily,101,51
gene=MYOM1|family=substitution:missense,family,101,53
gene=MYOM1|subfamily=missense,subfamily,101,53
gene=TP63|family=substitution:missense,family,101,52
gene=TP63|subfamily=missense,subfamily,101,52
gene=CROCC|family=substitution:missense,family,89,101
gene=CROCC|subfamily=missense,subfamily,89,101
gene=PABPC1|position_bin=301-400,position_bin,21,101
gene=MADCAM1|position_bin=201-300,position_bin,18,101
gene=KEL|family=substitution:missense,family,100,62
gene=KEL|subfamily=missense,subfamily,100,62
gene=LRP1|family=substitution:no_change,family,100,68
gene=LRP1|subfamily=no_change,subfamily,100,68
gene=NFE2L2|family=substitution:missense,family,100,44
gene=NFE2L2|subfamily=missense,subfamily,100,44
gene=NID2|family=substitution:missense,family,100,79
gene=NID2|subfamily=missense,subfamily,100,79
gene=PTCH1|family=substitution:missense,family,100,70
gene=PTCH1|subfamily=missense,subfamily,100,70
gene=FBXW7|position_bin=301-400,position_bin,22,100
gene=TCF7L2|position_bin=301-400,position_bin,18,100
gene=CDC42EP1|position_bin=201-300,position_bin,6,100
gene=A2M|family=substitution:missense,family,99,81
gene=A2M|subfamily=missense,subfamily,99,81
gene=ARFGEF2|family=substitution:missense,family,99,81
gene=ARFGEF2|subfamily=missense,subfamily,99,81
gene=COL4A2|family=substitution:missense,family,99,58
gene=COL4A2|subfamily=missense,subfamily,99,58
gene=DYNC1H1|family=substitution:no_change,family,99,63
gene=DYNC1H1|subfamily=no_change,subfamily,99,63
gene=ERBB2|family=substitution:missense,family,99,73
