ID,fold
TRAIN_0136,0
TRAIN_0137,1
TRAIN_0138,3
TRAIN_0139,4
TRAIN_0140,2
TRAIN_0141,0
TRAIN_0142,3
TRAIN_0143,4
TRAIN_0144,1
TRAIN_0145,2
TRAIN_0146,0
TRAIN_0147,0
TRAIN_0148,0
TRAIN_0149,3
TRAIN_0150,0
TRAIN_0151,2
TRAIN_0152,3
TRAIN_0153,3
TRAIN_0154,4
TRAIN_0155,2
TRAIN_0156,0
TRAIN_0157,2
TRAIN_0158,2
TRAIN_0159,1
TRAIN_0160,2
TRAIN_0161,3
TRAIN_0162,2
TRAIN_0163,4
TRAIN_0164,3
TRAIN_0165,0
TRAIN_0166,0
TRAIN_0167,2
TRAIN_0168,4
TRAIN_0169,0
TRAIN_0170,1
TRAIN_0171,3
TRAIN_0172,0
TRAIN_0173,0
TRAIN_0174,0
TRAIN_0175,2
TRAIN_0176,1
TRAIN_0177,2
TRAIN_0178,3
TRAIN_0179,1
TRAIN_0180,4
TRAIN_0181,0
TRAIN_0182,2
TRAIN_0183,2
TRAIN_0184,0
TRAIN_0185,1
TRAIN_0186,0
TRAIN_0187,0
TRAIN_0188,1
TRAIN_0189,0
TRAIN_0190,3
TRAIN_0191,2
TRAIN_0192,0
TRAIN_0193,1
TRAIN_0194,1
TRAIN_0195,3
TRAIN_0196,1
TRAIN_0197,3
TRAIN_0198,4
TRAIN_0199,3
TRAIN_0200,0
TRAIN_0201,2
TRAIN_0202,4
TRAIN_0203,0
TRAIN_0204,1
TRAIN_0205,1
TRAIN_0206,1
TRAIN_0207,1
TRAIN_0208,1
TRAIN_0209,1
TRAIN_0210,3
TRAIN_0211,4
TRAIN_0212,4
TRAIN_0213,0
TRAIN_0214,1
TRAIN_0215,3
TRAIN_0216,2
TRAIN_0217,2
TRAIN_0218,2
TRAIN_0219,0
TRAIN_0220,2
TRAIN_0221,4
TRAIN_0222,1
TRAIN_0223,3
TRAIN_0224,2
TRAIN_0225,2
TRAIN_0226,0
TRAIN_0227,1
TRAIN_0228,4
TRAIN_0229,3
TRAIN_0230,2
TRAIN_0231,2
TRAIN_0232,1
TRAIN_0233,3
TRAIN_0234,2
TRAIN_0235,3
TRAIN_0236,0
TRAIN_0237,3
TRAIN_0238,1
TRAIN_0239,2
TRAIN_0240,1
TRAIN_0241,3
TRAIN_0242,1
TRAIN_0243,0
TRAIN_0244,2
TRAIN_0245,0
TRAIN_0246,1
TRAIN_0247,0
TRAIN_0248,4
TRAIN_0249,2
TRAIN_0250,3
TRAIN_0251,4
TRAIN_0252,1
TRAIN_0253,4
TRAIN_0254,0
TRAIN_0255,1
TRAIN_0256,1
TRAIN_0257,0
TRAIN_0258,4
TRAIN_0259,2
TRAIN_0260,2
TRAIN_0261,1
TRAIN_0262,1
TRAIN_0263,2
TRAIN_0264,3
TRAIN_0265,4
TRAIN_0266,3
TRAIN_0267,3
TRAIN_0268,1
TRAIN_0269,4
TRAIN_0270,2
TRAIN_0271,3
TRAIN_0272,2
TRAIN_0273,2
TRAIN_0274,1
TRAIN_0275,0
TRAIN_0276,3
TRAIN_0277,2
TRAIN_0278,3
TRAIN_0279,0
TRAIN_0280,4
TRAIN_0281,3
TRAIN_0282,4
TRAIN_0283,3
TRAIN_0284,0
TRAIN_0285,3
TRAIN_0286,3
TRAIN_0287,2
TRAIN_0288,3
TRAIN_0289,0
TRAIN_0290,2
TRAIN_0291,4
TRAIN_0292,1
TRAIN_0293,0
TRAIN_0294,0
TRAIN_0295,2
TRAIN_0296,0
TRAIN_0297,3
TRAIN_0298,4
TRAIN_0299,4
TRAIN_0300,0
TRAIN_0301,3
TRAIN_0302,3
TRAIN_0303,0
TRAIN_0304,2
TRAIN_0305,0
TRAIN_0306,4
TRAIN_0307,2
TRAIN_0308,0
TRAIN_0309,1
TRAIN_0310,2
TRAIN_0311,1
TRAIN_0312,2
TRAIN_0313,3
TRAIN_0314,2
TRAIN_0315,1
TRAIN_0316,1
TRAIN_0317,3
TRAIN_0318,1
TRAIN_0319,3
TRAIN_0320,4
TRAIN_0321,2
TRAIN_0322,2
TRAIN_0323,0
TRAIN_0324,0
TRAIN_0325,1
TRAIN_0326,4
TRAIN_0327,2
TRAIN_0328,2
TRAIN_0329,0
TRAIN_0330,1
TRAIN_0331,1
TRAIN_0332,2
TRAIN_0333,0
TRAIN_0334,2
TRAIN_0335,4
TRAIN_0336,0
TRAIN_0337,0
TRAIN_0338,0
TRAIN_0339,0
TRAIN_0340,1
TRAIN_0341,4
TRAIN_0342,3
TRAIN_0343,3
TRAIN_0344,1
TRAIN_0345,0
TRAIN_0346,0
TRAIN_0347,0
TRAIN_0348,4
TRAIN_0349,4
TRAIN_0350,1
TRAIN_0351,2
TRAIN_0352,3
TRAIN_0353,4
TRAIN_0354,0
TRAIN_0355,1
TRAIN_0356,1
TRAIN_0357,0
TRAIN_0358,0
TRAIN_0359,3
TRAIN_0360,2
TRAIN_0361,4
TRAIN_0362,0
TRAIN_0363,3
TRAIN_0364,3
TRAIN_0365,2
TRAIN_0366,2
TRAIN_0367,3
TRAIN_0368,3
TRAIN_0369,0
TRAIN_0370,0
TRAIN_0371,1
TRAIN_0372,0
TRAIN_0373,0
TRAIN_0374,3
TRAIN_0375,3
TRAIN_0376,0
TRAIN_0377,3
TRAIN_0378,3
TRAIN_0379,0
TRAIN_0380,2
TRAIN_0381,4
TRAIN_0382,1
TRAIN_0383,2
TRAIN_0384,4
TRAIN_0385,4
TRAIN_0386,1
TRAIN_0387,0
TRAIN_0388,2
TRAIN_0389,3
TRAIN_0390,0
TRAIN_0391,0
TRAIN_0392,0
TRAIN_0393,0
TRAIN_0394,4
TRAIN_0395,0
TRAIN_0396,4
TRAIN_0397,3
TRAIN_0398,0
TRAIN_0399,0
TRAIN_0400,1
TRAIN_0401,2
TRAIN_0402,1
TRAIN_0403,0
TRAIN_0404,4
TRAIN_0405,4
TRAIN_0406,0
TRAIN_0407,2
TRAIN_0408,2
TRAIN_0409,2
TRAIN_0410,4
TRAIN_0411,1
TRAIN_0412,2
TRAIN_0413,2
TRAIN_0414,3
TRAIN_0415,3
TRAIN_0416,1
TRAIN_0417,1
TRAIN_0418,2
TRAIN_0419,4
TRAIN_0420,1
TRAIN_0421,2
TRAIN_0422,3
TRAIN_0423,0
TRAIN_0424,1
TRAIN_0425,4
TRAIN_0426,3
TRAIN_0427,2
TRAIN_0428,1
TRAIN_0429,0
TRAIN_0430,4
TRAIN_0431,0
TRAIN_0432,3
TRAIN_0433,3
TRAIN_0434,3
TRAIN_0435,2
TRAIN_0436,0
TRAIN_0437,4
TRAIN_0438,0
TRAIN_0439,0
TRAIN_0440,3
TRAIN_0441,4
TRAIN_0442,1
TRAIN_0443,4
TRAIN_0444,1
TRAIN_0445,2
TRAIN_0446,3
TRAIN_0447,1
TRAIN_0448,2
TRAIN_0449,3
TRAIN_0450,1
TRAIN_0451,3
TRAIN_0452,0
TRAIN_0453,3
TRAIN_0454,2
TRAIN_0455,2
TRAIN_0456,3
TRAIN_0457,3
TRAIN_0458,2
TRAIN_0459,4
TRAIN_0460,2
TRAIN_0461,4
TRAIN_0462,4
TRAIN_0463,0
TRAIN_0464,0
TRAIN_0465,1
TRAIN_0466,0
TRAIN_0467,0
TRAIN_0468,4
TRAIN_0469,0
TRAIN_0470,2
TRAIN_0471,4
TRAIN_0472,3
TRAIN_0473,0
TRAIN_0474,1
TRAIN_0475,2
TRAIN_0476,0
TRAIN_0477,2
TRAIN_0478,0
TRAIN_0479,3
TRAIN_0480,3
TRAIN_0481,2
TRAIN_0482,3
TRAIN_0483,0
TRAIN_0484,0
TRAIN_0485,1
TRAIN_0486,2
TRAIN_0487,2
TRAIN_0488,2
TRAIN_0489,2
TRAIN_0490,0
TRAIN_0491,3
TRAIN_0492,4
TRAIN_0493,4
TRAIN_0494,4
TRAIN_0495,2
TRAIN_0496,1
TRAIN_0497,4
TRAIN_0498,2
TRAIN_0499,4
TRAIN_0500,3
TRAIN_0501,4
TRAIN_0502,1
TRAIN_0503,2
TRAIN_0504,1
TRAIN_0505,1
TRAIN_0506,3
TRAIN_0507,2
TRAIN_0508,1
TRAIN_0509,1
TRAIN_0510,4
TRAIN_0511,2
TRAIN_0512,0
TRAIN_0513,3
TRAIN_0514,4
TRAIN_0515,1
TRAIN_0516,2
TRAIN_0517,3
TRAIN_0518,0
TRAIN_0519,3
TRAIN_0520,4
TRAIN_0521,3
TRAIN_0522,0
TRAIN_0523,3
TRAIN_0524,2
TRAIN_0525,1
TRAIN_0526,3
TRAIN_0527,2
TRAIN_0528,2
TRAIN_0529,1
TRAIN_0530,2
TRAIN_0531,1
TRAIN_0532,2
TRAIN_0533,1
TRAIN_0534,4
TRAIN_0535,4
TRAIN_0536,1
TRAIN_0537,4
TRAIN_0538,2
TRAIN_0539,3
TRAIN_0540,3
TRAIN_0541,3
TRAIN_0542,2
TRAIN_0543,4
TRAIN_0544,0
TRAIN_0545,0
TRAIN_0546,1
TRAIN_0547,0
TRAIN_0548,3
TRAIN_0549,3
TRAIN_0550,2
TRAIN_0551,4
TRAIN_0552,4
TRAIN_0553,2
TRAIN_0554,0
TRAIN_0555,3
TRAIN_0556,3
TRAIN_0557,2
TRAIN_0558,4
TRAIN_0559,4
TRAIN_0560,4
TRAIN_0561,1
TRAIN_0562,2
TRAIN_0563,3
TRAIN_0564,4
TRAIN_0565,2
TRAIN_0566,2
TRAIN_0567,4
TRAIN_0568,0
TRAIN_0569,1
TRAIN_0570,3
TRAIN_0571,2
TRAIN_0572,2
TRAIN_0573,2
TRAIN_0574,3
TRAIN_0575,3
TRAIN_0576,2
TRAIN_0577,2
TRAIN_0578,0
TRAIN_0579,1
TRAIN_0580,2
TRAIN_0581,0
TRAIN_0582,3
TRAIN_0583,0
TRAIN_0584,3
TRAIN_0585,0
TRAIN_0586,4
TRAIN_0587,2
TRAIN_0588,3
TRAIN_0589,2
TRAIN_0590,0
TRAIN_0591,4
TRAIN_0592,0
TRAIN_0593,4
TRAIN_0594,2
TRAIN_0595,4
TRAIN_0596,0
TRAIN_0597,0
TRAIN_0598,1
TRAIN_0599,2
TRAIN_0600,3
TRAIN_0601,0
TRAIN_0602,0
TRAIN_0603,1
TRAIN_0604,4
TRAIN_0605,2
TRAIN_0606,4
TRAIN_0607,2
TRAIN_0608,1
TRAIN_0609,2
TRAIN_0610,4
TRAIN_0611,4
TRAIN_0612,0
TRAIN_0613,4
TRAIN_0614,1
TRAIN_0615,4
TRAIN_0616,1
TRAIN_0617,3
TRAIN_0618,3
TRAIN_0619,2
TRAIN_0620,2
TRAIN_0621,2
TRAIN_0622,4
TRAIN_0623,1
TRAIN_0624,4
TRAIN_0625,3
TRAIN_0626,4
TRAIN_0627,3
TRAIN_0628,0
TRAIN_0629,2
TRAIN_0630,1
TRAIN_0631,2
TRAIN_0632,0
TRAIN_0633,0
TRAIN_0634,4
TRAIN_0635,1
TRAIN_0636,1
TRAIN_0637,2
TRAIN_0638,0
TRAIN_0639,0
TRAIN_0640,4
TRAIN_0641,0
TRAIN_0642,0
TRAIN_0643,2
TRAIN_0644,1
TRAIN_0645,0
TRAIN_0646,2
TRAIN_0647,4
TRAIN_0648,3
TRAIN_0649,4
TRAIN_0650,1
TRAIN_0651,2
TRAIN_0652,2
TRAIN_0653,0
TRAIN_0654,0
TRAIN_0655,1
TRAIN_0656,0
TRAIN_0657,1
TRAIN_0658,3
TRAIN_0659,3
TRAIN_0660,3
TRAIN_0661,4
TRAIN_0662,0
TRAIN_0663,4
TRAIN_0664,2
TRAIN_0665,3
TRAIN_0666,2
TRAIN_0667,3
TRAIN_0668,3
TRAIN_0669,2
TRAIN_0670,1
TRAIN_0671,4
TRAIN_0672,2
TRAIN_0673,2
TRAIN_0674,1
TRAIN_0675,1
TRAIN_0676,2
TRAIN_0677,0
TRAIN_0678,1
TRAIN_0679,3
TRAIN_0680,3
TRAIN_0681,4
TRAIN_0682,2
TRAIN_0683,1
TRAIN_0684,4
TRAIN_0685,2
TRAIN_0686,2
TRAIN_0687,0
TRAIN_0688,0
TRAIN_0689,2
TRAIN_0690,3
TRAIN_0691,0
TRAIN_0692,1
TRAIN_0693,0
TRAIN_0694,3
TRAIN_0695,4
TRAIN_0696,4
TRAIN_0697,2
TRAIN_0698,3
TRAIN_0699,1
TRAIN_0700,3
TRAIN_0701,1
TRAIN_0702,3
TRAIN_0703,0
TRAIN_0704,1
TRAIN_0705,4
TRAIN_0706,2
TRAIN_0707,1
TRAIN_0708,1
TRAIN_0709,1
TRAIN_0710,0
TRAIN_0711,0
TRAIN_0712,3
TRAIN_0713,3
TRAIN_0714,0
TRAIN_0715,0
TRAIN_0716,4
TRAIN_0717,2
TRAIN_0718,4
TRAIN_0719,2
TRAIN_0720,4
TRAIN_0721,4
TRAIN_0722,3
TRAIN_0723,3
TRAIN_0724,1
TRAIN_0725,3
TRAIN_0726,0
TRAIN_0727,3
TRAIN_0728,3
TRAIN_0729,3
TRAIN_0730,2
TRAIN_0731,2
TRAIN_0732,4
TRAIN_0733,4
TRAIN_0734,0
TRAIN_0735,4
TRAIN_0736,2
TRAIN_0737,3
TRAIN_0738,0
TRAIN_0739,0
TRAIN_0740,0
TRAIN_0741,0
TRAIN_0742,0
TRAIN_0743,3
TRAIN_0744,4
TRAIN_0745,0
TRAIN_0746,2
TRAIN_0747,1
TRAIN_0748,4
TRAIN_0749,1
TRAIN_0750,1
TRAIN_0751,2
TRAIN_0752,3
TRAIN_0753,2
TRAIN_0754,4
TRAIN_0755,2
TRAIN_0756,4
TRAIN_0757,4
TRAIN_0758,1
TRAIN_0759,0
TRAIN_0760,3
TRAIN_0761,4
TRAIN_0762,4
TRAIN_0763,1
TRAIN_0764,4
TRAIN_0765,0
TRAIN_0766,0
TRAIN_0767,4
TRAIN_0768,0
TRAIN_0769,4
TRAIN_0770,0
TRAIN_0771,4
TRAIN_0772,1
TRAIN_0773,1
TRAIN_0774,3
TRAIN_0775,3
TRAIN_0776,3
TRAIN_0777,4
TRAIN_0778,0
TRAIN_0779,2
TRAIN_0780,2
TRAIN_0781,4
TRAIN_0782,1
TRAIN_0783,2
TRAIN_0784,2
TRAIN_0785,0
TRAIN_0786,2
TRAIN_0787,0
TRAIN_0788,2
TRAIN_0789,2
TRAIN_0790,3
TRAIN_0791,3
TRAIN_0792,0
TRAIN_0793,1
TRAIN_0794,0
TRAIN_0795,0
TRAIN_0796,3
TRAIN_0797,1
TRAIN_0798,3
TRAIN_0799,0
TRAIN_0800,3
TRAIN_0801,2
TRAIN_0802,1
TRAIN_0803,4
TRAIN_0804,3
TRAIN_0805,2
TRAIN_0806,0
TRAIN_0807,4
TRAIN_0808,0
TRAIN_0809,0
TRAIN_0810,3
TRAIN_0811,1
TRAIN_0812,1
TRAIN_0813,4
TRAIN_0814,2
TRAIN_0815,3
TRAIN_0816,2
TRAIN_0817,0
TRAIN_0818,4
TRAIN_0819,0
TRAIN_0820,4
TRAIN_0821,2
TRAIN_0822,0
TRAIN_0823,4
TRAIN_0824,4
TRAIN_0825,1
TRAIN_0826,1
TRAIN_0827,2
TRAIN_0828,1
TRAIN_0829,2
TRAIN_0830,1
TRAIN_0831,2
TRAIN_0832,2
TRAIN_0833,0
TRAIN_0834,1
TRAIN_0835,1
TRAIN_0836,4
TRAIN_0837,3
TRAIN_0838,1
TRAIN_0839,2
TRAIN_0840,0
TRAIN_0841,0
TRAIN_0842,3
TRAIN_0843,2
TRAIN_0844,1
TRAIN_0845,2
TRAIN_0846,0
TRAIN_0847,3
TRAIN_0848,3
TRAIN_0849,0
TRAIN_0850,2
TRAIN_0851,4
TRAIN_0852,3
TRAIN_0853,2
TRAIN_0854,3
TRAIN_0855,0
TRAIN_0856,1
TRAIN_0857,4
TRAIN_0858,2
TRAIN_0859,0
TRAIN_0860,4
TRAIN_0861,2
TRAIN_0862,3
TRAIN_0863,3
TRAIN_0864,1
TRAIN_0865,2
TRAIN_0866,2
TRAIN_0867,0
TRAIN_0868,4
TRAIN_0869,0
TRAIN_0870,0
TRAIN_0871,3
TRAIN_0872,0
TRAIN_0873,3
TRAIN_0874,0
TRAIN_0875,4
TRAIN_0876,3
TRAIN_0877,1
TRAIN_0878,0
TRAIN_0879,2
TRAIN_0880,0
TRAIN_0881,4
TRAIN_0882,2
TRAIN_0883,4
TRAIN_0884,4
TRAIN_0885,0
TRAIN_0886,4
TRAIN_0887,1
TRAIN_0888,4
TRAIN_0889,1
TRAIN_0890,3
TRAIN_0891,1
TRAIN_0892,1
TRAIN_0893,1
TRAIN_0894,0
TRAIN_0895,0
TRAIN_0896,1
TRAIN_0897,2
TRAIN_0898,3
TRAIN_0899,4
TRAIN_0900,4
TRAIN_0901,3
TRAIN_0902,3
TRAIN_0903,4
TRAIN_0904,3
TRAIN_0905,0
TRAIN_0906,3
TRAIN_0907,1
TRAIN_0908,2
TRAIN_0909,2
TRAIN_0910,3
TRAIN_0911,3
TRAIN_0912,0
TRAIN_0913,1
TRAIN_0914,3
TRAIN_0915,3
TRAIN_0916,0
TRAIN_0917,1
TRAIN_0918,2
TRAIN_0919,4
TRAIN_0920,3
TRAIN_0921,4
TRAIN_0922,3
TRAIN_0923,4
TRAIN_0924,1
TRAIN_0925,3
TRAIN_0926,1
TRAIN_0927,0
TRAIN_0928,3
TRAIN_0929,0
TRAIN_0930,1
TRAIN_0931,2
TRAIN_0932,2
TRAIN_0933,1
TRAIN_0934,4
TRAIN_0935,3
TRAIN_0936,0
TRAIN_0937,3
TRAIN_0938,2
TRAIN_0939,2
TRAIN_0940,0
TRAIN_0941,2
TRAIN_0942,3
TRAIN_0943,0
TRAIN_0944,0
TRAIN_0945,2
TRAIN_0946,4
TRAIN_0947,3
TRAIN_0948,1
TRAIN_0949,0
TRAIN_0950,2
TRAIN_0951,2
TRAIN_0952,1
TRAIN_0953,0
TRAIN_0954,4
TRAIN_0955,2
TRAIN_0956,4
TRAIN_0957,1
TRAIN_0958,3
TRAIN_0959,1
TRAIN_0960,0
TRAIN_0961,1
TRAIN_0962,4
TRAIN_0963,2
TRAIN_0964,0
TRAIN_0965,3
TRAIN_0966,2
TRAIN_0967,1
TRAIN_0968,3
TRAIN_0969,2
TRAIN_0970,2
TRAIN_0971,3
TRAIN_0972,1
TRAIN_0973,3
TRAIN_0974,1
TRAIN_0975,1
TRAIN_0976,3
TRAIN_0977,0
TRAIN_0978,4
TRAIN_0979,2
TRAIN_0980,4
TRAIN_0981,1
TRAIN_0982,2
TRAIN_0983,0
TRAIN_0984,0
TRAIN_0985,4
TRAIN_0986,1
TRAIN_0987,0
TRAIN_0988,3
TRAIN_0989,2
TRAIN_0990,4
TRAIN_0991,1
TRAIN_0992,1
TRAIN_0993,2
TRAIN_0994,4
TRAIN_0995,0
TRAIN_0996,4
TRAIN_0997,0
TRAIN_0998,4
TRAIN_0999,2
TRAIN_1000,1
TRAIN_1001,2
TRAIN_1002,4
TRAIN_1003,3
TRAIN_1004,4
TRAIN_1005,1
TRAIN_1006,4
TRAIN_1007,3
TRAIN_1008,3
TRAIN_1009,0
TRAIN_1010,3
TRAIN_1011,4
TRAIN_1012,2
TRAIN_1013,0
TRAIN_1014,0
TRAIN_1015,4
TRAIN_1016,2
TRAIN_1017,2
TRAIN_1018,2
TRAIN_1019,1
TRAIN_1020,0
TRAIN_1021,2
TRAIN_1022,1
TRAIN_1023,0
TRAIN_1024,1
TRAIN_1025,2
TRAIN_1026,1
TRAIN_1027,2
TRAIN_1028,0
TRAIN_1029,0
TRAIN_1030,3
TRAIN_1031,1
TRAIN_1032,3
TRAIN_1033,4
TRAIN_1034,0
TRAIN_1035,2
TRAIN_1036,1
TRAIN_1037,2
TRAIN_1038,4
TRAIN_1039,2
TRAIN_1040,0
TRAIN_1041,2
TRAIN_1042,3
TRAIN_1043,3
TRAIN_1044,0
TRAIN_1045,1
TRAIN_1046,2
TRAIN_1047,3
TRAIN_1048,4
TRAIN_1049,0
TRAIN_1050,3
TRAIN_1051,4
TRAIN_1052,0
TRAIN_1053,4
TRAIN_1054,1
TRAIN_1055,3
TRAIN_1056,0
TRAIN_1057,1
TRAIN_1058,0
TRAIN_1059,4
TRAIN_1060,3
TRAIN_1061,2
TRAIN_1062,3
TRAIN_1063,4
TRAIN_1064,4
TRAIN_1065,4
TRAIN_1066,0
TRAIN_1067,2
TRAIN_1068,3
TRAIN_1069,0
TRAIN_1070,1
TRAIN_1071,4
TRAIN_1072,3
TRAIN_1073,1
TRAIN_1074,4
TRAIN_1075,1
TRAIN_1076,2
TRAIN_1077,2
TRAIN_1078,4
TRAIN_1079,1
TRAIN_1080,0
TRAIN_1081,2
TRAIN_1082,0
TRAIN_1083,1
TRAIN_1084,0
TRAIN_1085,1
TRAIN_1086,1
TRAIN_1087,4
TRAIN_1088,0
TRAIN_1089,2
TRAIN_1090,0
TRAIN_1091,0
TRAIN_1092,2
TRAIN_1093,4
TRAIN_1094,1
TRAIN_1095,1
TRAIN_1096,3
TRAIN_1097,2
TRAIN_1098,4
TRAIN_1099,3
TRAIN_1100,0
TRAIN_1101,4
TRAIN_1102,1
TRAIN_1103,3
TRAIN_1104,4
TRAIN_1105,4
TRAIN_1106,2
TRAIN_1107,3
TRAIN_1108,4
TRAIN_1109,3
TRAIN_1110,4
TRAIN_1111,3
TRAIN_1112,4
TRAIN_1113,4
TRAIN_1114,3
TRAIN_1115,1
TRAIN_1116,2
TRAIN_1117,4
TRAIN_1118,3
TRAIN_1119,4
TRAIN_1120,3
TRAIN_1121,4
TRAIN_1122,4
TRAIN_1123,2
TRAIN_1124,1
TRAIN_1125,3
TRAIN_1126,0
TRAIN_1127,0
TRAIN_1128,2
TRAIN_1129,2
TRAIN_1130,4
TRAIN_1131,4
TRAIN_1132,3
TRAIN_1133,2
TRAIN_1134,0
TRAIN_1135,1
TRAIN_1136,3
TRAIN_1137,4
TRAIN_1138,2
TRAIN_1139,4
TRAIN_1140,3
TRAIN_1141,4
TRAIN_1142,3
TRAIN_1143,1
TRAIN_1144,0
TRAIN_1145,3
TRAIN_1146,1
TRAIN_1147,2
TRAIN_1148,3
TRAIN_1149,3
TRAIN_1150,3
TRAIN_1151,1
TRAIN_1152,2
TRAIN_1153,4
TRAIN_1154,0
TRAIN_1155,0
TRAIN_1156,1
TRAIN_1157,1
TRAIN_1158,2
TRAIN_1159,4
TRAIN_1160,1
TRAIN_1161,4
TRAIN_1162,0
TRAIN_1163,3
TRAIN_1164,3
TRAIN_1165,2
TRAIN_1166,4
TRAIN_1167,4
TRAIN_1168,0
TRAIN_1169,4
TRAIN_1170,3
TRAIN_1171,3
TRAIN_1172,3
TRAIN_1173,1
TRAIN_1174,0
TRAIN_1175,3
TRAIN_1176,1
TRAIN_1177,4
TRAIN_1178,1
TRAIN_1179,1
TRAIN_1180,4
TRAIN_1181,3
TRAIN_1182,3
TRAIN_1183,2
TRAIN_1184,1
TRAIN_1185,0
TRAIN_1186,2
TRAIN_1187,4
TRAIN_1188,3
TRAIN_1189,1
TRAIN_1190,4
TRAIN_1191,0
TRAIN_1192,2
TRAIN_1193,1
TRAIN_1194,2
TRAIN_1195,4
TRAIN_1196,4
TRAIN_1197,0
TRAIN_1198,2
TRAIN_1199,3
TRAIN_1200,0
TRAIN_1201,2
TRAIN_1202,4
TRAIN_1203,1
TRAIN_1204,3
TRAIN_1205,3
TRAIN_1206,3
TRAIN_1207,1
TRAIN_1208,0
TRAIN_1209,0
TRAIN_1210,1
TRAIN_1211,1
TRAIN_1212,3
TRAIN_1213,2
TRAIN_1214,1
TRAIN_1215,4
TRAIN_1216,1
TRAIN_1217,4
TRAIN_1218,0
TRAIN_1219,2
TRAIN_1220,1
TRAIN_1221,1
TRAIN_1222,3
TRAIN_1223,0
TRAIN_1224,2
TRAIN_1225,2
TRAIN_1226,1
TRAIN_1227,2
TRAIN_1228,4
TRAIN_1229,4
TRAIN_1230,4
TRAIN_1231,4
TRAIN_1232,2
TRAIN_1233,4
TRAIN_1234,1
TRAIN_1235,1
TRAIN_1236,4
TRAIN_1237,0
TRAIN_1238,0
TRAIN_1239,2
TRAIN_1240,3
TRAIN_1241,4
TRAIN_1242,4
TRAIN_1243,4
TRAIN_1244,2
TRAIN_1245,0
TRAIN_1246,0
TRAIN_1247,3
TRAIN_1248,2
TRAIN_1249,2
TRAIN_1250,0
TRAIN_1251,4
TRAIN_1252,3
TRAIN_1253,0
TRAIN_1254,4
TRAIN_1255,3
TRAIN_1256,2
TRAIN_1257,3
TRAIN_1258,2
TRAIN_1259,3
TRAIN_1260,2
TRAIN_1261,3
TRAIN_1262,1
TRAIN_1263,4
TRAIN_1264,4
TRAIN_1265,3
TRAIN_1266,2
TRAIN_1267,4
TRAIN_1268,3
TRAIN_1269,2
TRAIN_1270,1
