gene,n_rows_train,mutated_cell_rate_train,token_total_train,tokens_per_row_mean_train,tokens_per_row_median_train,tokens_per_row_p95_train,complex_token_fraction_train,n_rows_test,mutated_cell_rate_test,token_total_test,tokens_per_row_mean_test,tokens_per_row_median_test,tokens_per_row_p95_test,complex_token_fraction_test,mutated_cell_rate_diff,token_mean_ratio_test_over_train,complex_fraction_diff,token_total_ratio_test_over_train,abs_shift_score
RHOT2,6201,0.005482986615062087,37,0.0059667795516852125,0.0,0.0,0.0,2546,0.0192458758837392,376,0.1476826394344069,0.0,0.0,0.0,0.013762889268677112,24.75081208466911,0.0,10.162162162162161,2.569081872589891
FGF22,6201,0.0006450572488308337,4,0.0006450572488308337,0.0,0.0,0.0,2546,0.009426551453260016,40,0.015710919088766692,0.0,0.0,0.0,0.008781494204429183,24.355852317360565,0.0,10.0,2.5486438776828453
AP3S1,6201,0.002902757619738752,19,0.00306402193194646,0.0,0.0,0.0,2546,0.01335428122545169,187,0.07344854673998429,0.0,0.0,0.0106951871657754,0.010451523605712937,23.971286228139082,0.0106951871657754,9.842105263157896,2.5457261441152714
MADD,6201,0.020158039025963553,152,0.02451217545557168,0.0,0.0,0.0,2546,0.03927729772191673,1303,0.5117831893165751,0.0,0.0,0.07597851112816577,0.019119258695953177,20.87873392731633,0.07597851112816577,8.572368421052632,2.4874657007614944
KCNK15,6201,0.0009675858732462506,6,0.0009675858732462506,0.0,0.0,0.0,2546,0.021209740769835034,54,0.021209740769835034,0.0,0.0,0.018518518518518517,0.020242154896588784,21.92026708562451,0.018518518518518517,9.0,2.477635037584264
ERBB2,6201,0.01967424608934043,140,0.02257700370907918,0.0,0.0,0.0,2546,0.04006284367635507,1071,0.4206598586017282,0.0,0.0,0.14939309056956115,0.02038859758701464,18.632227022780835,0.14939309056956115,7.65,2.4538069594134035
CEBPD,6201,0.0004837929366231253,3,0.0004837929366231253,0.0,0.0,0.0,2546,0.01021209740769835,26,0.01021209740769835,0.0,0.0,0.038461538461538464,0.009728304471075226,21.10840534171249,0.038461538461538464,8.666666666666666,2.451000530792601
CDC25B,6201,0.00612804386389292,39,0.006289308176100629,0.0,0.0,0.0,2546,0.020031421838177535,350,0.13747054202670855,0.0,0.0,0.0,0.013903377974284615,21.85781618224666,0.0,8.974358974358974,2.450049321132267
IMPDH2,6201,0.0003225286244154169,2,0.0003225286244154169,0.0,0.0,0.0,2546,0.007069913589945012,18,0.007069913589945012,0.0,0.0,0.0,0.006747384965529595,21.92026708562451,0.0,9.0,2.4456217491346863
AP2S1,6201,0.0006450572488308337,4,0.0006450572488308337,0.0,0.0,0.0,2546,0.005106048703849175,35,0.013747054202670856,0.0,0.0,0.0,0.004460991455018342,21.311370777690495,0.0,8.75,2.4164102597510047
EFS,6201,0.006450572488308337,41,0.006611836800516046,0.0,0.0,0.0,2546,0.05066771406127259,340,0.1335428122545169,0.0,1.0,0.0,0.04421714157296425,20.197536068055104,0.0,8.292682926829269,2.4049549127315974
SH2B2,6201,0.0035478148685695854,23,0.003709079180777294,0.0,0.0,0.0,2546,0.031029065200314218,183,0.07187745483110762,0.0,0.0,0.04918032786885246,0.027481250331744634,19.37878684381297,0.04918032786885246,7.956521739130435,2.3980088968632916
ZC3H14,6201,0.008385744234800839,55,0.008869537171423964,0.0,0.0,0.0,2546,0.022780832678711706,381,0.14964650432050275,0.0,0.0,0.19160104986876642,0.014395088443910867,16.87196315075341,0.19160104986876642,6.927272727272728,2.3960821382350947
FGF2,6201,0.001128850185453959,7,0.001128850185453959,0.0,0.0,0.0,2546,0.018853102906520033,58,0.022780832678711706,0.0,0.0,0.017241379310344827,0.017724252721066074,20.180563348670184,0.017241379310344827,8.285714285714286,2.3949023894340695
SIRT6,6201,0.00306402193194646,21,0.003386550556361877,0.0,0.0,0.0,2546,0.01767478397486253,176,0.06912804399057344,0.0,0.0,0.005681818181818182,0.01461076204291607,20.412523846930757,0.005681818181818182,8.380952380952381,2.391121377006445
NFIB,6201,0.005805515239477504,40,0.006450572488308337,0.0,0.0,0.0,2546,0.016889238020424194,303,0.1190102120974077,0.0,0.0,0.09900990099009901,0.01108372278094669,18.44955813040063,0.09900990099009901,7.575,2.3847707947861627
APLP2,6201,0.008547008547008548,60,0.009675858732462506,0.0,0.0,0.0,2546,0.020031421838177535,481,0.1889238020424195,0.0,0.0,0.035343035343035345,0.011484413291168987,19.525274941084053,0.035343035343035345,8.016666666666667,2.375337318747347
HES6,6201,0.0006450572488308337,4,0.0006450572488308337,0.0,0.0,0.0,2546,0.007069913589945012,32,0.012568735271013355,0.0,0.0,0.03125,0.006424856341114178,19.484681853888453,0.03125,8.0,2.3642050559729695
VEGFA,6201,0.0027414933075310434,17,0.0027414933075310434,0.0,0.0,0.0,2546,0.04124116260801257,133,0.05223880597014925,0.0,0.0,0.015037593984962405,0.03849966930048153,19.054872695346795,0.015037593984962405,7.823529411764706,2.358862234151092
ARTN,6201,0.0009675858732462506,6,0.0009675858732462506,0.0,0.0,0.0,2546,0.010604870384917517,49,0.0192458758837392,0.0,0.0,0.0,0.009637284511671266,19.890612725844463,0.0,8.166666666666666,2.355790010150104
PFKP,6201,0.0075794226737622965,50,0.008063215610385421,0.0,0.0,0.0,2546,0.031421838177533384,397,0.15593087195600944,0.0,0.0,0.0,0.023842415503771086,19.33854673998429,0.0,7.94,2.343213174633329
MEF2A,6201,0.006773101112723754,45,0.00725689404934688,0.0,0.0,0.0,2546,0.018853102906520033,284,0.11154752553024352,0.0,0.0,0.22535211267605634,0.012080001793796279,15.371249018067557,0.22535211267605634,6.311111111111111,2.3398116215923057
TLE4,6201,0.01435252378648605,107,0.0172552814062248,0.0,0.0,0.009345794392523364,2546,0.02631578947368421,808,0.3173605655930872,0.0,0.0,0.06064356435643564,0.011963265687198158,18.39208287142742,0.051297769963912276,7.5514018691588785,2.334978738454262
SORBS1,6201,0.015965166908563134,120,0.019351717464925013,0.0,0.0,0.0,2546,0.03731343283582089,895,0.35153181461115474,0.0,0.0,0.0446927374301676,0.02134826592725776,18.16540652003142,0.0446927374301676,7.458333333333333,2.326000732990291
RXRA,6201,0.007418158361554588,48,0.0077406869859700045,0.0,0.0,0.0,2546,0.06952081696779261,359,0.14100549882168106,0.0,2.0,0.0,0.06210265860623802,18.21614787902592,0.0,7.479166666666667,2.3247064389738927
RAPGEFL1,6201,0.004999193678438961,32,0.00516045799064667,0.0,0.0,0.0,2546,0.06087981146897094,235,0.09230164964650432,0.0,1.0,0.0,0.055880617790531974,17.886329045561666,0.0,7.34375,2.3011717666434888
NME4,6201,0.0009675858732462506,6,0.0009675858732462506,0.0,0.0,0.0,2546,0.009426551453260016,43,0.016889238020424194,0.0,0.0,0.06976744186046512,0.008458965580013765,17.455027494108407,0.06976744186046512,7.166666666666667,2.3004160531532256
DLAT,6201,0.004837929366231253,34,0.005482986615062087,0.0,0.0,0.0,2546,0.020031421838177535,260,0.1021209740769835,0.0,0.0,0.0,0.015193492471946282,18.62506353680514,0.0,7.647058823529412,2.298853813119443
CELF2,6201,0.007095629737139171,47,0.0075794226737622965,0.0,0.0,0.0,2546,0.01767478397486253,343,0.1347211311861744,0.0,0.0,0.0029154518950437317,0.010579154237723359,17.774590095435478,0.0029154518950437317,7.297872340425532,2.2528517905178695
DUT,6201,0.0009675858732462506,6,0.0009675858732462506,0.0,0.0,0.0,2546,0.007069913589945012,44,0.01728201099764336,0.0,0.0,0.0,0.006102327716698761,17.860958366064413,0.0,7.333333333333333,2.250049237814646
ATP6V0A1,6201,0.009353330108047089,63,0.010159651669085631,0.0,0.0,0.0,2546,0.020031421838177535,406,0.15946582875098192,0.0,0.0,0.11083743842364532,0.010678091730130446,15.695993715632364,0.11083743842364532,6.444444444444445,2.243537142969064
GSN,6201,0.008063215610385421,55,0.008869537171423964,0.0,0.0,0.0,2546,0.022780832678711706,393,0.15435978004713274,0.0,0.0,0.0,0.014717617068326284,17.403363564950368,0.0,7.1454545454545455,2.234103886859945
PEX11G,6201,0.0016126431220770843,10,0.0016126431220770843,0.0,0.0,0.0,2546,0.015318146111547526,68,0.02670856245090338,0.0,0.0,0.04411764705882353,0.013705502989470441,16.561979575805186,0.04411764705882353,6.8,2.2304122834488895
POLE4,6201,0.0003225286244154169,2,0.0003225286244154169,0.0,0.0,0.0,2546,0.005106048703849175,13,0.005106048703849175,0.0,0.0,0.07692307692307693,0.0047835200794337585,15.831304006284368,0.07692307692307693,6.5,2.2117999027064257
SERPINB6,6201,0.0041928721174004195,26,0.0041928721174004195,0.0,0.0,0.0,2546,0.0192458758837392,181,0.07109190887666929,0.0,0.0,0.0,0.01505300376633878,16.955420267085625,0.0,6.961538461538462,2.209797857298651
KIFC3,6201,0.005644250927269795,42,0.006773101112723754,0.0,0.0,0.0,2546,0.02749410840534171,275,0.10801256873527101,0.0,0.0,0.04,0.021849857478071916,15.947284255414656,0.04,6.5476190476190474,2.1988102769883535
CANX,6201,0.005644250927269795,36,0.005805515239477504,0.0,0.0,0.0,2546,0.02513747054202671,227,0.08915946582875098,0.0,0.0,0.07488986784140969,0.019493219614756915,15.357717989002357,0.07488986784140969,6.305555555555555,2.1959357411167795
DCXR,6201,0.001128850185453959,7,0.001128850185453959,0.0,0.0,0.0,2546,0.009426551453260016,48,0.018853102906520033,0.0,0.0,0.0,0.008297701267806058,16.701155874761533,0.0,6.857142857142857,2.188780461814297
OPA1,6201,0.008869537171423964,62,0.009998387356877922,0.0,0.0,0.0,2546,0.02199528672427337,388,0.15239591516103693,0.0,0.0,0.07989690721649484,0.013125749552849406,15.242049514735323,0.07989690721649484,6.258064516129032,2.1874790046264367
PROC,6201,0.006611836800516046,49,0.007901951298177712,0.0,0.0,0.0,2546,0.020816967792615867,307,0.12058130400628436,0.0,0.0,0.06514657980456026,0.014205130992099822,15.259687064142232,0.06514657980456026,6.26530612244898,2.174893388423467
PPP1R2,6201,0.0019351717464925011,12,0.0019351717464925011,0.0,0.0,0.0,2546,0.023959151610369208,67,0.02631578947368421,0.0,0.0,0.16417910447761194,0.022023979863876705,13.598684210526315,0.16417910447761194,5.583333333333333,2.1739873058678607
SNRPG,6201,0.0006450572488308337,4,0.0006450572488308337,0.0,0.0,0.0,2546,0.004713275726630008,27,0.010604870384917517,0.0,0.0,0.0,0.0040682184777991745,16.44020031421838,0.0,6.75,2.169698942239742
ARPC5L,6201,0.0008063215610385422,5,0.0008063215610385422,0.0,0.0,0.0,2546,0.008248232521602514,21,0.008248232521602514,0.0,0.0,0.42857142857142855,0.007441910960563972,10.229457973291439,0.42857142857142855,4.2,2.161406660599541
GLRX2,6201,0.0012901144976616675,8,0.0012901144976616675,0.0,0.0,0.0,2546,0.012175962293794187,49,0.0192458758837392,0.0,0.0,0.061224489795918366,0.01088584779613252,14.917959544383347,0.061224489795918366,6.125,2.146411159911299
FRAT1,6201,0.0003225286244154169,2,0.0003225286244154169,0.0,0.0,0.0,2546,0.004713275726630008,12,0.004713275726630008,0.0,0.0,0.08333333333333333,0.004390747102214591,14.61351139041634,0.08333333333333333,6.0,2.142713554040407
TNNT3,6201,0.00516045799064667,36,0.005805515239477504,0.0,0.0,0.027777777777777776,2546,0.012568735271013355,205,0.0805184603299293,0.0,0.0,0.13658536585365855,0.007408277280366685,13.869304791830324,0.10880758807588077,5.694444444444445,2.1223676917766707
PFKM,6201,0.0075794226737622965,55,0.008869537171423964,0.0,0.0,0.0,2546,0.022780832678711706,339,0.1331500392772977,0.0,0.0,0.02654867256637168,0.01520141000494941,15.012061701064056,0.02654867256637168,6.163636363636364,2.1219451965607123
SDCBP,6201,0.002257700370907918,14,0.002257700370907918,0.0,0.0,0.0,2546,0.007462686567164179,85,0.03338570306362922,0.0,0.0,0.047058823529411764,0.005204986196256261,14.78748176411177,0.047058823529411764,6.071428571428571,2.118333961757692
BAIAP2,6201,0.0077406869859700045,52,0.008385744234800839,0.0,0.0,0.0,2546,0.028279654359780047,323,0.12686567164179105,0.0,0.0,0.006191950464396285,0.020538967373810044,15.128731343283581,0.006191950464396285,6.211538461538462,2.11418597432485
ARHGAP27,6201,0.006611836800516046,47,0.0075794226737622965,0.0,0.0,0.0,2546,0.02356637863315004,278,0.10919088766692851,0.0,0.0,0.03597122302158273,0.016954541832633993,14.406227540906887,0.03597122302158273,5.914893617021277,2.0945503977451385
MSRA,6201,0.0019351717464925011,12,0.0019351717464925011,0.0,0.0,0.0,2546,0.009819324430479183,74,0.029065200314218383,0.0,0.0,0.0,0.007884152683986682,15.01944226237235,0.0,6.166666666666667,2.088540098075321
CLTA,6201,0.001451378809869376,9,0.001451378809869376,0.0,0.0,0.0,2546,0.009033778476040848,54,0.021209740769835034,0.0,0.0,0.018518518518518517,0.007582399666171472,14.613511390416338,0.018518518518518517,6.0,2.0810903917895494
SLC3A2,6201,0.004837929366231253,32,0.00516045799064667,0.0,0.0,0.0,2546,0.022780832678711706,187,0.07344854673998429,0.0,0.0,0.0213903743315508,0.017942903312480454,14.23295119795758,0.0213903743315508,5.84375,2.069647020528245
SNX14,6201,0.008063215610385421,64,0.01032091598129334,0.0,0.0,0.0,2546,0.01767478397486253,385,0.15121759622937941,0.0,0.0,0.0025974025974025974,0.009611568364477109,14.651567409662215,0.0025974025974025974,6.015625,2.0696328563450486
TGIF1,6201,0.005321722302854378,33,0.005321722302854378,0.0,0.0,0.0,2546,0.0192458758837392,175,0.06873527101335428,0.0,0.0,0.11428571428571428,0.013924153580884821,12.91598228950939,0.11428571428571428,5.303030303030303,2.0681006719244692
IMP4,6201,0.0041928721174004195,26,0.0041928721174004195,0.0,0.0,0.0,2546,0.01021209740769835,134,0.05263157894736842,0.0,0.0,0.1417910447761194,0.006019225290297931,12.552631578947366,0.1417910447761194,5.153846153846154,2.0612438304438223
MARCKS,6201,0.0027414933075310434,17,0.0027414933075310434,0.0,0.0,0.0,2546,0.03809897879025923,97,0.03809897879025923,0.0,0.0,0.010309278350515464,0.035357485482728185,13.897162792846911,0.010309278350515464,5.705882352941177,2.053690361505716
SURF1,6201,0.0012901144976616675,8,0.0012901144976616675,0.0,0.0,0.0,2546,0.010604870384917517,47,0.018460329929300863,0.0,0.0,0.0,0.00931475588725585,14.309063236449331,0.0,5.875,2.04461259674018
NDUFA5,6201,0.0008063215610385422,5,0.0008063215610385422,0.0,0.0,0.0,2546,0.00432050274941084,28,0.010997643362136685,0.0,0.0,0.03571428571428571,0.003514181188372298,13.639277297721916,0.03571428571428571,5.6,2.0297894287476854
RGS11,6201,0.0035478148685695854,22,0.0035478148685695854,0.0,0.0,0.0,2546,0.01767478397486253,122,0.047918303220738416,0.0,0.0,0.03278688524590164,0.014126969106292945,13.506427194172678,0.03278688524590164,5.545454545454546,2.0283584797809318
TFDP2,6201,0.005805515239477504,36,0.005805515239477504,0.0,0.0,0.05555555555555555,2546,0.012175962293794187,198,0.07776904948939513,0.0,0.0,0.10101010101010101,0.0063704470543166835,13.39571877454831,0.045454545454545456,5.5,2.0256086670032536
SMTN,6201,0.011611030478955007,79,0.012739880664408966,0.0,0.0,0.0,2546,0.034956794972505895,422,0.1657501963864886,0.0,0.0,0.052132701421800945,0.023345764493550886,13.010341364463493,0.052132701421800945,5.341772151898734,2.0221270111793226
ARPP21,6201,0.020319303338171262,152,0.02451217545557168,0.0,0.0,0.0,2546,0.03534956794972506,805,0.3161822466614297,0.0,0.0,0.062111801242236024,0.015030264611553799,12.898987575970562,0.062111801242236024,5.296052631578948,2.0158108865166904
TAF1C,6201,0.009837123044670215,66,0.010643444605708756,0.0,0.0,0.0,2546,0.03809897879025923,361,0.1417910447761194,0.0,0.0,0.01662049861495845,0.028261855745589017,13.321913161465401,0.01662049861495845,5.46969696969697,2.0135259270703196
MXD3,6201,0.0008063215610385422,5,0.0008063215610385422,0.0,0.0,0.0,2546,0.01021209740769835,26,0.01021209740769835,0.0,0.0,0.07692307692307693,0.009405775846659808,12.665043205027494,0.07692307692307693,5.2,2.0080226533138763
ST3GAL6,6201,0.004999193678438961,34,0.005482986615062087,0.0,0.0,0.029411764705882353,2546,0.015710919088766692,174,0.06834249803613511,0.0,0.0,0.11494252873563218,0.010711725410327732,12.464465597708054,0.08553076402974982,5.117647058823529,2.0031493461056717
BAX,6201,0.004031607805192711,27,0.0043541364296081275,0.0,0.0,0.0,2546,0.02631578947368421,144,0.056559308719560095,0.0,0.0,0.027777777777777776,0.0222841816684915,12.989787902592303,0.027777777777777776,5.333333333333333,1.995242406804923
FDX1,6201,0.0006450572488308337,4,0.0006450572488308337,0.0,0.0,0.0,2546,0.007855459544383346,20,0.007855459544383346,0.0,0.0,0.1,0.0072104022955525125,12.177926158680282,0.1,5.0,1.9926063908331997
ARRB2,6201,0.003386550556361877,23,0.003709079180777294,0.0,0.0,0.043478260869565216,2546,0.0204241948153967,125,0.049096622152395915,0.0,0.0,0.032,0.017037644259034826,13.23687625943509,-0.011478260869565216,5.434782608695652,1.9912042426850105
SGCE,6201,0.005644250927269795,37,0.0059667795516852125,0.0,0.0,0.0,2546,0.01767478397486253,168,0.06598586017282011,0.0,0.0,0.17857142857142858,0.012030533047592735,11.058873484639392,0.17857142857142858,4.54054054054054,1.9872555587613197
XAF1,6201,0.003386550556361877,22,0.0035478148685695854,0.0,0.0,0.0,2546,0.009033778476040848,108,0.04241948153967007,0.0,0.0,0.1111111111111111,0.005647227919678971,11.95650931943155,0.1111111111111111,4.909090909090909,1.9852094704792762
DMPK,6201,0.005482986615062087,39,0.006289308176100629,0.0,0.0,0.0,2546,0.022780832678711706,213,0.08366064414768264,0.0,0.0,0.0,0.01729784606364962,13.302042419481538,0.0,5.461538461538462,1.9845530191079976
RAB34,6201,0.0041928721174004195,26,0.0041928721174004195,0.0,0.0,0.0,2546,0.020816967792615867,117,0.04595443833464258,0.0,0.0,0.1794871794871795,0.016624095675215448,10.960133542812255,0.1794871794871795,4.5,1.9845430088495764
CENPM,6201,0.0016126431220770843,10,0.0016126431220770843,0.0,0.0,0.0,2546,0.011390416339355853,45,0.01767478397486253,0.0,0.0,0.17777777777777778,0.009777773217278768,10.960133542812255,0.17777777777777778,4.5,1.975987284682238
STK25,6201,0.0032252862441541686,21,0.003386550556361877,0.0,0.0,0.0,2546,0.013747054202670856,110,0.04320502749410841,0.0,0.0,0.03636363636363636,0.010521767958516687,12.757827404331726,0.03636363636363636,5.238095238095238,1.9753461516740765
MLF1,6201,0.004676665054023544,31,0.004999193678438961,0.0,0.0,0.0,2546,0.012568735271013355,152,0.05970149253731343,0.0,0.0,0.09868421052631579,0.00789207021698981,11.942224362060665,0.09868421052631579,4.903225806451613,1.9739242726332948
PCM1,6201,0.013707466537655217,106,0.017094017094017096,0.0,0.0,0.0,2546,0.03260015710919089,499,0.1959937156323645,0.0,0.0,0.12424849699398798,0.018892690571535673,11.465632364493322,0.12424849699398798,4.7075471698113205,1.9729694539011604
CRIP2,6201,0.0016126431220770843,10,0.0016126431220770843,0.0,0.0,0.0,2546,0.010997643362136685,53,0.020816967792615867,0.0,0.0,0.018867924528301886,0.0093850002400596,12.9086017282011,0.018867924528301886,5.3,1.967613222316112
IL15RA,6201,0.002902757619738752,23,0.003709079180777294,0.0,0.0,0.0,2546,0.015318146111547526,122,0.047918303220738416,0.0,0.0,0.00819672131147541,0.012415388491808774,12.91919122920865,0.00819672131147541,5.304347826086956,1.9607334811117103
MADCAM1,6201,0.0043541364296081275,30,0.004837929366231253,0.0,0.0,0.0,2546,0.04752553024351924,134,0.05263157894736842,0.0,0.0,0.12686567164179105,0.043171393813911114,10.878947368421052,0.12686567164179105,4.466666666666667,1.9516575895528063
FGD4,6201,0.010804708917916465,71,0.011449766166747298,0.0,0.0,0.0,2546,0.024351924587588374,330,0.12961508248232523,0.0,0.0,0.11212121212121212,0.01354721566967191,11.320325724970406,0.11212121212121212,4.647887323943662,1.943771643701946
RUNX1,6201,0.010643444605708756,77,0.01241735203999355,0.0,0.0,0.0,2546,0.07776904948939513,379,0.14886095836606442,0.0,2.0,0.005277044854881266,0.06712560488368638,11.988140296467083,0.005277044854881266,4.922077922077922,1.9432921253678934
LYSMD2,6201,0.0009675858732462506,6,0.0009675858732462506,0.0,0.0,0.0,2546,0.006284367635506678,27,0.010604870384917517,0.0,0.0,0.14814814814814814,0.005316781762260427,10.960133542812255,0.14814814814814814,4.5,1.9418966635975898
HSD17B4,6201,0.008547008547008548,60,0.009675858732462506,0.0,0.0,0.0,2546,0.018853102906520033,315,0.1237234878240377,0.0,0.0,0.0,0.010306094359511485,12.786822466614296,0.0,5.25,1.9408721560376725
NCS1,6201,0.001128850185453959,8,0.0012901144976616675,0.0,0.0,0.0,2546,0.009819324430479183,42,0.016496465043205028,0.0,0.0,0.0,0.008690474245025224,12.786822466614296,0.0,5.25,1.9392565359231861
DIABLO,6201,0.001451378809869376,10,0.0016126431220770843,0.0,0.0,0.0,2546,0.006284367635506678,48,0.018853102906520033,0.0,0.0,0.08333333333333333,0.0048329888256373014,11.690809112333072,0.08333333333333333,4.8,1.935897181129871
TNFAIP8,6201,0.0027414933075310434,18,0.002902757619738752,0.0,0.0,0.05555555555555555,2546,0.009819324430479183,91,0.03574234092694423,0.0,0.0,0.08791208791208792,0.007077831122948139,12.313236449332287,0.032356532356532366,5.055555555555555,1.9350459449967132
