SUBCLASS,mutated_gene_count_count,mutated_gene_count_median,mutated_gene_count_mean,mutated_gene_count_std,mutated_gene_count_min,mutated_gene_count_max,total_variant_count_count,total_variant_count_median,total_variant_count_mean,total_variant_count_std,total_variant_count_min,total_variant_count_max,missense_count_count,missense_count_median,missense_count_mean,missense_count_std,missense_count_min,missense_count_max,nonsense_count_count,nonsense_count_median,nonsense_count_mean,nonsense_count_std,nonsense_count_min,nonsense_count_max,frameshift_count_count,frameshift_count_median,frameshift_count_mean,frameshift_count_std,frameshift_count_min,frameshift_count_max,complex_count_count,complex_count_median,complex_count_mean,complex_count_std,complex_count_min,complex_count_max,truncating_count_count,truncating_count_median,truncating_count_mean,truncating_count_std,truncating_count_min,truncating_count_max
LAML,158,3.0,3.056962,2.197983,0,10,158,3.0,3.113924,2.257259,0,11,158,2.0,1.943038,1.69767,0,8,158,0.0,0.14557,0.419675,0,2,158,0.0,0.474684,0.62536,0,2,158,0.0,0.0,0.0,0,0,158,0.0,0.620253,0.753823,0,4
LGG,229,8.0,8.689956,8.516492,0,121,229,8.0,9.004367,9.292752,0,134,229,5.0,6.069869,4.912784,0,65,229,0.0,0.432314,0.743984,0,6,229,0.0,0.606987,0.956577,0,8,229,0.0,0.0,0.0,0,0,229,1.0,1.039301,1.325602,0,14
LIHC,158,25.0,31.335443,28.310519,2,286,158,25.0,32.183544,30.299952,2,311,158,17.0,21.721519,20.907705,1,210,158,1.0,1.208861,1.723032,0,16,158,1.0,1.303797,2.320523,0,26,158,0.0,0.063291,0.24426,0,1,158,2.0,2.512658,2.981338,0,27
LUAD,184,40.5,58.043478,53.693405,4,285,184,42.0,61.25,59.234853,4,328,184,27.0,41.277174,41.131328,4,227,184,2.0,3.228261,3.703796,0,18,184,2.0,2.407609,3.653301,0,39,184,0.0,0.152174,0.42938,0,3,184,4.0,5.63587,6.304913,0,48
LUSC,178,57.0,69.52809,56.011518,0,579,178,59.0,73.376404,66.331635,0,712,178,42.0,49.595506,43.169674,0,454,178,3.0,4.449438,4.602901,0,37,178,0.0,0.808989,1.103425,0,5,178,0.0,0.219101,0.523218,0,3,178,4.0,5.258427,5.010786,0,39
OV,253,12.0,14.592885,8.637099,1,47,253,13.0,14.73913,8.749781,1,49,253,9.0,10.304348,6.756997,0,38,253,1.0,0.750988,0.924345,0,4,253,0.0,0.632411,0.914639,0,4,253,0.0,0.019763,0.13946,0,1,253,1.0,1.383399,1.338991,0,6
PAAD,120,14.0,36.283333,217.118029,0,2393,120,14.0,56.241667,433.826244,0,4768,120,11.0,38.891667,302.007869,0,3319,120,1.0,2.733333,19.491749,0,214,120,0.0,0.425,0.617157,0,3,120,0.0,0.025,0.15678,0,1,120,1.0,3.158333,19.650302,0,216
PCPG,147,4.0,4.428571,2.424193,0,10,147,4.0,4.598639,2.533772,0,11,147,2.0,2.768707,1.883846,0,8,147,0.0,0.190476,0.473016,0,3,147,0.0,0.469388,0.565033,0,2,147,0.0,0.0,0.0,0,0,147,1.0,0.659864,0.69732,0,3
PRAD,266,6.0,7.703008,14.02283,0,205,266,6.0,7.883459,15.339847,0,228,266,4.0,5.379699,11.79617,0,180,266,0.0,0.285714,0.590125,0,3,266,0.0,0.357143,0.641553,0,5,266,0.0,0.007519,0.086547,0,1,266,0.0,0.642857,0.883969,0,7
SARC,198,9.0,12.833333,30.018564,0,387,198,9.0,13.853535,38.063582,0,506,198,6.0,9.015152,24.362215,0,325,198,0.0,0.656566,1.539079,0,19,198,0.0,0.676768,1.064692,0,8,198,0.0,0.010101,0.100248,0,1,198,1.0,1.333333,2.022714,0,22
SKCM,276,85.5,132.532609,179.832151,3,2025,276,88.0,177.507246,617.956812,3,9972,276,56.5,108.797101,372.143084,2,6002,276,3.5,6.92029,20.067182,0,317,276,1.0,1.398551,2.162624,0,25,276,0.0,0.51087,1.971587,0,30,276,5.0,8.318841,20.717664,0,324
STES,379,41.0,81.841689,125.710978,0,1076,379,42.0,89.738786,151.110888,0,1483,379,28.0,55.493404,92.279492,0,1029,379,2.0,3.506596,7.047596,0,118,379,1.0,8.986807,20.836281,0,139,379,0.0,0.031662,0.189821,0,2,379,3.0,12.493404,24.5984,0,169
TGCT,124,16.0,16.717742,11.097909,2,127,124,16.0,16.919355,11.692953,2,134,124,11.0,11.483871,8.599947,2,96,124,1.0,0.75,0.959548,0,7,124,0.0,0.443548,0.895358,0,7,124,0.0,0.008065,0.089803,0,1,124,1.0,1.193548,1.523141,0,14
THCA,324,4.0,4.25,3.143005,0,25,324,4.0,4.490741,3.478805,0,26,324,3.0,3.151235,2.416141,0,16,324,0.0,0.126543,0.376606,0,2,324,0.0,0.154321,0.409953,0,2,324,0.0,0.003086,0.055556,0,1,324,0.0,0.280864,0.565908,0,3
THYM,98,2.0,4.377551,15.504915,0,152,98,2.0,4.55102,16.331061,0,160,98,1.0,3.040816,9.784185,0,95,98,0.0,0.204082,0.641506,0,5,98,0.0,0.44898,3.146336,0,31,98,0.0,0.0,0.0,0,0,98,0.0,0.653061,3.672416,0,36
UCEC,198,18.0,133.969697,331.093281,3,1861,198,19.0,179.636364,507.795963,3,3127,198,13.0,120.828283,346.948219,1,2133,198,1.0,13.424242,43.881958,0,266,198,1.0,1.853535,2.138305,0,12,198,0.0,0.025253,0.186794,0,2,198,3.0,15.277778,43.973442,0,267
