feature,family,kind,train_nonzero,test_nonzero,train_prevalence,test_prevalence,prevalence_abs_diff,prevalence_relative_ratio,train_zero_ratio,test_zero_ratio,train_min,test_min,train_p25,test_p25,train_median,test_median,train_p75,test_p75,train_p90,test_p90,train_p95,test_p95,train_p99,test_p99,train_max,test_max,native_v3_family,mean_gain
KDM6B__mutated,mutated,presence,89,356,0.01435252378648605,0.13982717989002358,0.12547465610353753,9.742340926944227,0.9856474762135139,0.8601728201099764,,,,,,,,,,,,,,,,,gene_mutation_presence,16.985032081604004
CRYBG1__mutated,mutated,presence,0,71,0.0,0.02788688138256088,0.02788688138256088,,1.0,0.9721131186174391,,,,,,,,,,,,,,,,,gene_mutation_presence,15.94962485631307
sample__total_variant_count,sample_burden_aggregate,continuous,6107,2515,0.9848411546524755,0.9878240377062059,0.0029828830537304007,1.0030287961054827,0.015158845347524541,0.01217596229379414,0.0,0.0,7.0,11.0,14.0,34.0,28.0,94.0,70.0,155.0,129.0,640.75,444.0,1997.800048828125,9972.0,5008.0,base_sample_aggregate,14.717275937398275
CASP8AP2__mutated,mutated,presence,0,83,0.0,0.03260015710919089,0.03260015710919089,,1.0,0.9673998428908092,,,,,,,,,,,,,,,,,gene_mutation_presence,14.10258420308431
gene__APC__native_v3_missense_any,APC__native_v3_missense_any,presence,158,70,0.02547976132881793,0.02749410840534171,0.00201434707652378,1.0790567482374933,0.9745202386711821,0.9725058915946583,,,,,,,,,,,,,,,,,native_missense,13.899724642435709
gene__HLA-A__native_v3_missense_any,HLA-A__native_v3_missense_any,presence,46,222,0.007418158361554588,0.08719560094265515,0.07977744258110056,11.754346118378361,0.9925818416384454,0.9128043990573449,,,,,,,,,,,,,,,,,native_missense,12.865346272786459
MAGEE1__mutated,mutated,presence,112,392,0.018061602967263345,0.1539670070699136,0.13590540410265026,8.524548311076197,0.9819383970327367,0.8460329929300864,,,,,,,,,,,,,,,,,gene_mutation_presence,12.414443969726562
gene__LY75__native_v3_missense_any,LY75__native_v3_missense_any,presence,71,21,0.011449766166747298,0.008248232521602514,-0.0032015336451447843,0.7203843643162985,0.9885502338332527,0.9917517674783974,,,,,,,,,,,,,,,,,native_missense,10.818145751953125
WASL__mutated,mutated,presence,44,54,0.007095629737139171,0.021209740769835034,0.014114111032695862,2.9891273298578875,0.9929043702628608,0.9787902592301649,,,,,,,,,,,,,,,,,gene_mutation_presence,10.249567349751791
RXRA__mutated,mutated,presence,46,177,0.007418158361554588,0.06952081696779261,0.06210265860623802,9.371708391680043,0.9925818416384454,0.9304791830322074,,,,,,,,,,,,,,,,,gene_mutation_presence,10.17945416768392
sample__native_v3_frameshift_token_count,sample_burden_aggregate,continuous,3274,1642,0.5279793581680374,0.6449332285938727,0.11695387042583527,1.2215122023551022,0.4720206418319626,0.3550667714061273,0.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,3.0,16.0,4.0,24.0,23.0,228.5500030517578,139.0,367.0,native_frameshift,9.565438906351725
gene__PCLO__native_v3_no_change_any,PCLO__native_v3_no_change_any,presence,192,92,0.030962747943880018,0.03613511390416339,0.005172365960283375,1.1670512568735272,0.96903725205612,0.9638648860958366,,,,,,,,,,,,,,,,,native_no_change,9.253151257832846
gene__APC__native_v3_nonsense_any,APC__native_v3_nonsense_any,presence,159,336,0.02564102564102564,0.13197172034564023,0.10633069470461459,5.146897093479969,0.9743589743589743,0.8680282796543598,,,,,,,,,,,,,,,,,native_nonsense,9.124155203501383
gene__KDM6B__native_v3_no_change_any,KDM6B__native_v3_no_change_any,presence,18,132,0.002902757619738752,0.051846032992930086,0.04894327537319133,17.860958366064416,0.9970972423802612,0.9481539670070699,,,,,,,,,,,,,,,,,native_no_change,9.012860298156738
sample__native_v3_nonsense_token_count,sample_burden_aggregate,continuous,3266,1559,0.5266892436703757,0.6123330714846819,0.08564382781430613,1.1626078923075664,0.47331075632962427,0.38766692851531814,0.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,4.0,16.0,7.0,20.0,20.0,71.55000305175781,317.0,369.0,native_nonsense,8.183370590209961
gene__PRKDC__native_v3_no_change_any,PRKDC__native_v3_no_change_any,presence,84,37,0.013546202225447508,0.014532600157109192,0.0009863979316616835,1.0728173044551679,0.9864537977745524,0.9854673998428908,,,,,,,,,,,,,,,,,native_no_change,7.897968928019206
sample__native_v3_missense_token_count,sample_burden_aggregate,continuous,6017,2485,0.9703273665537816,0.9760408483896308,0.005713481835849188,1.0058882002433274,0.0296726334462184,0.02395915161036921,0.0,0.0,4.0,7.0,9.0,22.5,19.0,54.75,46.0,99.0,81.0,327.5,271.0,1359.050048828125,6002.0,3326.0,native_missense,7.83488114674886
HMOX2__mutated,mutated,presence,14,26,0.002257700370907918,0.01021209740769835,0.007954397036790432,4.523229716081248,0.9977422996290921,0.9897879025923016,,,,,,,,,,,,,,,,,gene_mutation_presence,7.261360168457031
gene__UBC__native_v3_no_change_any,UBC__native_v3_no_change_any,presence,35,275,0.005644250927269795,0.10801256873527101,0.10236831780800122,19.13674110649759,0.9943557490727302,0.891987431264729,,,,,,,,,,,,,,,,,native_no_change,7.012614885965983
gene__COL7A1__native_v3_missense_any,COL7A1__native_v3_missense_any,presence,161,99,0.025963554265441058,0.038884524744697564,0.012920970479256506,1.4976579996389416,0.9740364457345589,0.9611154752553024,,,,,,,,,,,,,,,,,native_missense,6.836843967437744
gene__TFCP2L1__native_v3_no_change_any,TFCP2L1__native_v3_no_change_any,presence,21,24,0.003386550556361877,0.009426551453260016,0.006040000896898139,2.7835259791269222,0.9966134494436382,0.99057344854674,,,,,,,,,,,,,,,,,native_no_change,6.715412457784017
TUBGCP6__mutated,mutated,presence,120,354,0.019351717464925013,0.13904163393558522,0.11968991647066021,7.184976433621366,0.980648282535075,0.8609583660644148,,,,,,,,,,,,,,,,,gene_mutation_presence,6.587146759033203
SH3BGR__mutated,mutated,presence,29,9,0.004676665054023544,0.003534956794972506,-0.0011417082590510384,0.7558712788146383,0.9953233349459765,0.9964650432050275,,,,,,,,,,,,,,,,,gene_mutation_presence,6.49903138478597
AKAP4__mutated,mutated,presence,112,38,0.018061602967263345,0.014925373134328358,-0.0031362298329349874,0.8263592750533049,0.9819383970327367,0.9850746268656716,,,,,,,,,,,,,,,,,gene_mutation_presence,6.426069895426433
MUC1__mutated,mutated,presence,24,225,0.0038703434929850023,0.08837391987431265,0.08450357638132765,22.833611547525532,0.996129656507015,0.9116260801256874,,,,,,,,,,,,,,,,,gene_mutation_presence,6.348469416300456
gene__WASL__native_v3_missense_any,WASL__native_v3_missense_any,presence,29,26,0.004676665054023544,0.01021209740769835,0.005535432353674806,2.183628138797844,0.9953233349459765,0.9897879025923016,,,,,,,,,,,,,,,,,native_missense,6.203381856282552
gene__LCT__native_v3_no_change_any,LCT__native_v3_no_change_any,presence,68,61,0.010965973230124174,0.023959151610369208,0.012993178380245034,2.1848632225867566,0.9890340267698758,0.9760408483896308,,,,,,,,,,,,,,,,,native_no_change,6.191158453623454
VPS50__mutated,mutated,presence,0,62,0.0,0.024351924587588374,0.024351924587588374,,1.0,0.9756480754124116,,,,,,,,,,,,,,,,,gene_mutation_presence,6.144791920979817
VWF__mutated,mutated,presence,255,155,0.04112239961296565,0.06087981146897094,0.01975741185600529,1.4804537683101522,0.9588776003870344,0.9391201885310291,,,,,,,,,,,,,,,,,gene_mutation_presence,6.0385762850443525
ALOX12B__mutated,mutated,presence,59,64,0.009514594420254797,0.02513747054202671,0.015622876121771913,2.641990759849282,0.9904854055797452,0.9748625294579732,,,,,,,,,,,,,,,,,gene_mutation_presence,6.038573582967122
gene__CLU__native_v3_no_change_any,CLU__native_v3_no_change_any,presence,26,6,0.0041928721174004195,0.002356637863315004,-0.0018362342540854154,0.5620581304006285,0.9958071278825996,0.997643362136685,,,,,,,,,,,,,,,,,native_no_change,6.0142364501953125
SLC6A3__mutated,mutated,presence,104,80,0.016771488469601678,0.031421838177533384,0.014650349707931706,1.873527101335428,0.9832285115303984,0.9685781618224666,,,,,,,,,,,,,,,,,gene_mutation_presence,5.881872177124023
THBS2__mutated,mutated,presence,141,113,0.022738268021286888,0.044383346425765906,0.021645078404479018,1.9519229162140028,0.9772617319787131,0.9556166535742341,,,,,,,,,,,,,,,,,gene_mutation_presence,5.739339828491211
gene__CSF3R__native_v3_missense_any,CSF3R__native_v3_missense_any,presence,62,22,0.009998387356877922,0.00864100549882168,-0.001357381858056242,0.8642399209386007,0.990001612643122,0.9913589945011784,,,,,,,,,,,,,,,,,native_missense,5.704300085703532
ELP1__mutated,mutated,presence,0,58,0.0,0.022780832678711706,0.022780832678711706,,1.0,0.9772191673212883,,,,,,,,,,,,,,,,,gene_mutation_presence,5.673608144124349
KDM7A__mutated,mutated,presence,64,65,0.01032091598129334,0.025530243519245877,0.015209327537952537,2.4736412509819323,0.9896790840187066,0.9744697564807541,,,,,,,,,,,,,,,,,gene_mutation_presence,5.6300662358601885
sample__native_v3_no_change_token_count,sample_burden_aggregate,continuous,5251,2304,0.8467989034026769,0.9049489395129615,0.058150036110284575,1.0686704197143162,0.15320109659732306,0.09505106048703849,0.0,0.0,1.0,2.0,3.0,8.0,7.0,21.0,18.0,40.0,37.0,148.25,127.0,809.3499755859375,3616.0,1462.0,native_no_change,5.535005331039429
