fold,axis,bucket,count,usable
3,parser_semantic_burden::sample__parser_v4_nonstandard_stop_reference_count,>0,0,False
3,parser_semantic_burden::sample__parser_v4_frameshift_count,>0,2627,True
3,parser_semantic_burden::sample__parser_v4_deletion_count,>0,2,False
3,parser_semantic_burden::sample__parser_v4_delins_count,>0,0,False
3,parser_semantic_burden::sample__parser_v4_insertion_count,>0,0,False
3,parser_semantic_burden::sample__parser_v4_duplication_candidate_count,>0,0,False
3,parser_semantic_burden::sample__parser_v4_range_replacement_count,>0,77,True
3,parser_semantic_burden::sample__parser_v4_range_stop_count,>0,51,True
3,parser_semantic_burden::sample__parser_v4_range_no_change_count,>0,41,True
3,parser_semantic_burden::sample__parser_v4_unresolved_count,>0,116,True
3,parser_semantic_burden::sample__parser_v4_complete_parse_count,>0,4867,True
3,parser_semantic_burden::sample__parser_v4_partial_parse_count,>0,2628,True
4,mutation_burden,<=q10,545,True
4,mutation_burden,q10-q90,3920,True
4,mutation_burden,>q90,496,True
4,all_wt_low_mutation,all_wt,74,True
4,all_wt_low_mutation,1-4,672,True
4,all_wt_low_mutation,>=5,4215,True
4,missingness,==0,4961,False
4,missingness,>0,0,False
4,complex_unresolved,==0,4836,True
4,complex_unresolved,>0,125,True
4,nonstandard_notation,==0,4839,True
4,nonstandard_notation,>0,122,True
4,parser_semantic_burden::sample__parser_v4_total_token_count,>0,4887,True
4,parser_semantic_burden::sample__parser_v4_missense_count,>0,4819,True
4,parser_semantic_burden::sample__parser_v4_no_change_count,>0,4184,True
4,parser_semantic_burden::sample__parser_v4_nonsense_count,>0,2612,True
4,parser_semantic_burden::sample__parser_v4_start_codon_affected_count,>0,0,False
4,parser_semantic_burden::sample__parser_v4_unknown_reference_substitution_count,>0,0,False
4,parser_semantic_burden::sample__parser_v4_nonstandard_stop_reference_count,>0,0,False
4,parser_semantic_burden::sample__parser_v4_frameshift_count,>0,2608,True
4,parser_semantic_burden::sample__parser_v4_deletion_count,>0,2,False
4,parser_semantic_burden::sample__parser_v4_delins_count,>0,0,False
4,parser_semantic_burden::sample__parser_v4_insertion_count,>0,0,False
4,parser_semantic_burden::sample__parser_v4_duplication_candidate_count,>0,0,False
4,parser_semantic_burden::sample__parser_v4_range_replacement_count,>0,80,True
4,parser_semantic_burden::sample__parser_v4_range_stop_count,>0,44,True
4,parser_semantic_burden::sample__parser_v4_range_no_change_count,>0,35,True
4,parser_semantic_burden::sample__parser_v4_unresolved_count,>0,125,True
4,parser_semantic_burden::sample__parser_v4_complete_parse_count,>0,4870,True
4,parser_semantic_burden::sample__parser_v4_partial_parse_count,>0,2609,True
